Sample,Timestamp,Current Error,PID Control Signal
0,0.05,-0.43,-94.6
1,1.72,-0.43,-94.6
2,3.37,-0.42,-94.3
3,5.10,-0.39,-90.8
4,6.76,-0.40,-91.1
5,8.44,-0.42,-94.3
6,10.08,-0.42,-93.4
7,11.75,-0.40,-91.2
8,13.38,-0.40,-91.1
9,15.04,-0.42,-92.4
10,16.71,-0.39,-88.9
11,18.40,-0.43,-94.6
12,20.05,-0.44,-95.1
13,21.76,-0.39,-89.9
14,23.43,-0.40,-93.0
15,25.09,-0.42,-93.4
16,26.75,-0.39,-89.9
17,28.40,-0.42,-93.4
18,30.07,-0.42,-92.4
19,31.76,-0.39,-89.0
20,33.45,-0.38,-87.8
21,35.05,-0.42,-94.3
22,36.77,-0.42,-93.4
23,38.37,-0.42,-92.4
24,40.06,-0.35,-86.2
25,41.73,-0.43,-92.8
26,43.43,-0.42,-92.4
27,45.07,-0.42,-93.4
28,46.74,-0.42,-93.4
29,48.41,-0.38,-91.4
30,50.09,-0.40,-90.2
31,51.76,-0.40,-93.9
32,53.42,-0.40,-90.2
33,55.07,-0.40,-91.2
34,56.74,-0.40,-92.1
35,58.39,-0.40,-93.0
36,60.06,-0.40,-91.2
37,61.72,-0.40,-93.9
38,63.37,-0.39,-90.8
39,65.10,-0.38,-88.6
40,66.77,-0.42,-93.4
41,68.41,-0.42,-93.4
42,70.08,-0.42,-92.4
43,71.77,-0.38,-86.9
44,73.46,-0.42,-93.4
45,75.11,-0.40,-93.0
46,76.75,-0.39,-90.8
47,78.39,-0.38,-88.6
48,80.12,-0.40,-91.1
49,81.75,-0.43,-93.8
50,83.43,-0.39,-89.9
51,85.08,-0.43,-93.8
52,86.75,-0.40,-91.2
53,88.45,-0.42,-95.2
54,90.12,-0.42,-93.4
55,91.77,-0.44,-95.0
56,93.41,-0.43,-95.6
57,95.08,-0.38,-89.6
58,96.78,-0.43,-93.8
59,98.42,-0.39,-89.9
60,100.09,-0.40,-94.9
61,101.78,-0.40,-92.1
62,103.41,-0.43,-94.7
63,105.12,-0.40,-91.1
64,106.75,-0.40,-93.0
65,108.38,-0.39,-90.8
66,110.05,-0.37,-88.2
67,111.71,-0.42,-91.5
68,113.37,-0.40,-91.1
69,115.11,-0.42,-94.3
70,116.77,-0.43,-94.7
71,118.40,-0.39,-88.9
72,120.04,-0.39,-92.6
73,121.77,-0.44,-96.0
74,123.43,-0.40,-91.2
75,125.09,-0.39,-88.9
76,126.73,-0.37,-88.2
77,128.38,-0.42,-92.4
78,130.11,-0.40,-91.2
79,131.77,-0.42,-93.4
80,133.38,-0.39,-89.9
81,135.05,-0.40,-90.2
82,136.72,-0.39,-89.9
83,138.38,-0.40,-90.2
84,140.12,-0.44,-96.8
85,141.71,-0.42,-93.4
86,143.44,-0.40,-92.1
87,145.12,-0.39,-89.9
88,146.75,-0.39,-91.8
89,148.40,-0.42,-94.3
90,150.05,-0.40,-91.2
91,151.71,-0.38,-89.5
92,153.45,-0.39,-89.9
93,155.11,-0.39,-90.8
94,156.75,-0.42,-92.4
95,158.43,-0.43,-96.4
96,160.09,-0.43,-94.6
97,161.77,-0.43,-93.8
98,163.43,-0.40,-93.0
99,165.09,-0.39,-89.9
100,166.73,-0.42,-92.4
101,168.38,-0.42,-95.2
102,170.04,-0.39,-92.6
103,171.76,-0.39,-88.9
104,173.43,-0.42,-94.3
105,175.10,-0.42,-92.4
106,176.73,-0.43,-95.6
107,178.39,-0.39,-89.9
108,180.04,-0.42,-93.4
109,181.78,-0.38,-89.5
110,183.43,-0.42,-94.3
111,185.10,-0.42,-92.4
112,186.77,-0.37,-87.3
113,188.43,-0.39,-90.8
114,190.05,-0.39,-91.8
115,191.71,-0.40,-90.2
116,193.43,-0.43,-95.6
117,195.08,-0.43,-95.6
118,196.72,-0.39,-90.8
119,198.45,-0.42,-94.3
120,200.11,-0.42,-92.4
121,201.78,-0.40,-93.9
122,203.38,-0.40,-92.1
123,205.05,-0.39,-89.9
124,206.71,-0.39,-90.8
125,208.45,-0.42,-92.4
126,210.10,-0.42,-93.4
127,211.78,-0.40,-93.0
128,213.42,-0.42,-93.4
129,215.09,-0.42,-94.3
130,216.72,-0.42,-93.4
131,218.38,-0.39,-91.8
132,220.12,-0.42,-94.3
133,221.75,-0.39,-91.8
134,223.39,-0.38,-88.6
135,225.12,-0.42,-93.4
136,226.77,-0.42,-92.4
137,228.45,-0.39,-91.8
138,230.12,-0.39,-91.8
139,231.76,-0.42,-93.4
140,233.43,-0.39,-90.8
141,235.09,-0.40,-93.9
142,236.73,-0.38,-86.8
143,238.39,-0.43,-95.6
144,240.05,-0.42,-93.4
145,241.77,-0.40,-93.0
146,243.43,-0.43,-93.8
147,245.11,-0.37,-89.2
148,246.76,-0.40,-91.1
149,248.41,-0.42,-94.3
150,250.05,-0.38,-90.4
151,251.71,-0.42,-92.4
152,253.43,-0.40,-93.0
153,255.09,-0.39,-91.8
154,256.72,-0.40,-93.0
155,258.38,-0.42,-93.4
156,260.12,-0.38,-88.6
157,261.78,-0.43,-94.6
158,263.42,-0.37,-89.1
159,265.07,-0.42,-92.4
160,266.72,-0.42,-94.3
161,268.46,-0.39,-90.8
162,270.11,-0.42,-95.2
163,271.75,-0.38,-88.5
164,273.41,-0.39,-89.9
165,275.06,-0.42,-92.4
166,276.72,-0.43,-92.8
167,278.39,-0.40,-92.1
168,280.05,-0.40,-93.9
169,281.72,-0.42,-92.4
170,283.43,-0.43,-93.8
171,285.09,-0.43,-97.4
172,286.73,-0.42,-94.3
173,288.38,-0.40,-92.1
174,290.11,-0.39,-92.6
175,291.73,-0.40,-91.1
176,293.38,-0.42,-94.3
177,295.12,-0.39,-90.8
178,296.71,-0.40,-90.2
179,298.45,-0.40,-93.0
180,300.12,-0.40,-93.9
181,301.78,-0.43,-96.5
182,303.44,-0.42,-97.1
183,305.09,-0.39,-91.8
184,306.75,-0.39,-89.9
185,308.38,-0.40,-89.3
186,310.05,-0.39,-88.9
187,311.77,-0.42,-92.4
188,313.43,-0.42,-93.4
189,315.08,-0.44,-97.8
190,316.73,-0.43,-93.8
191,318.38,-0.40,-90.2
192,320.10,-0.42,-93.4
193,321.75,-0.42,-94.3
194,323.40,-0.42,-91.6
195,325.06,-0.40,-91.1
196,326.71,-0.43,-94.6
197,328.45,-0.39,-90.8
198,330.10,-0.39,-91.8
199,331.77,-0.42,-93.4
200,333.41,-0.42,-94.3
201,335.07,-0.43,-94.6
