Sample,Timestamp,Current Error,PID Control Signal
0,0.04,0.04,29.3
1,0.72,0.01,19.7
2,1.41,-0.01,20.2
3,2.11,-0.09,18.6
4,2.72,-0.05,27.7
5,3.41,-0.09,20.3
6,4.09,-0.10,25.8
7,4.76,-0.10,24.7
8,5.45,-0.07,31.5
9,6.05,-0.01,33.8
10,6.74,0.04,40.0
11,7.43,0.10,41.7
12,8.04,0.09,38.9
13,8.73,0.12,43.1
14,9.43,0.17,47.9
15,10.12,0.12,43.1
16,10.72,0.11,38.4
17,11.41,0.13,47.6
18,12.11,0.11,47.1
19,12.71,0.13,46.6
20,13.39,0.04,35.4
21,14.07,0.05,48.9
22,14.77,0.02,48.2
23,15.38,-0.02,39.9
24,16.06,-0.05,46.8
25,16.75,-0.09,45.9
26,17.44,-0.15,40.8
27,18.05,-0.16,46.8
28,18.73,-0.11,50.5
29,19.43,-0.17,43.2
30,20.11,-0.23,49.6
31,20.72,-0.21,53.0
32,21.41,-0.23,49.8
33,22.10,-0.27,44.4
34,22.79,-0.29,47.0
35,23.38,-0.29,46.2
36,24.07,-0.33,46.8
37,24.76,-0.37,49.7
38,25.45,-0.38,19.3
39,26.05,-0.38,21.3
40,26.74,-0.38,21.6
41,27.43,-0.31,27.0
42,28.12,-0.20,36.7
43,28.73,-0.16,33.4
44,29.43,-0.12,31.3
45,30.12,-0.05,36.2
46,30.72,0.04,37.8
47,31.42,0.06,35.9
48,32.11,0.16,47.0
49,32.72,0.17,41.8
50,33.41,0.17,37.8
51,34.11,0.26,48.7
52,34.71,0.24,38.9
53,35.40,0.24,37.8
54,36.09,0.24,39.3
55,36.77,0.27,43.3
56,37.37,0.31,46.1
57,38.07,0.28,39.2
58,38.76,0.32,44.9
59,39.45,0.26,35.6
60,40.05,0.33,49.2
61,40.75,0.28,38.2
62,41.44,0.23,36.9
63,42.05,0.23,44.6
64,42.73,0.18,35.0
65,43.41,0.11,31.8
66,44.04,0.13,39.3
67,44.73,0.07,33.8
68,45.41,0.05,33.1
69,46.11,0.01,33.2
70,46.79,0.00,35.2
71,47.39,0.01,34.9
72,48.08,-0.01,33.9
73,48.77,-0.06,28.7
74,49.38,-0.04,32.5
75,50.06,-0.02,36.2
76,50.75,-0.02,33.2
77,51.45,-0.02,33.2
78,52.05,-0.01,33.8
79,52.72,0.01,35.5
80,53.40,0.01,35.7
81,54.08,0.05,38.2
82,54.77,0.07,37.4
83,55.46,0.05,35.8
84,56.05,0.12,44.3
85,56.74,0.11,36.7
86,57.43,0.10,35.7
87,58.12,0.13,42.4
88,58.72,0.15,39.1
89,59.40,0.16,40.2
90,60.09,0.12,38.3
91,60.77,0.16,43.5
92,61.37,0.15,39.5
93,62.06,0.12,38.8
94,62.75,0.12,38.0
95,63.43,0.13,40.1
96,64.12,0.17,44.3
97,64.71,0.12,36.5
98,65.40,0.10,36.5
99,66.08,0.10,38.4
100,66.75,0.09,37.2
101,67.44,0.07,36.2
102,68.12,0.05,36.6
103,68.72,0.11,43.6
104,69.39,0.09,34.5
105,70.07,0.06,35.1
106,70.75,0.06,37.0
107,71.44,0.02,33.9
108,72.11,0.05,40.5
109,72.71,0.05,35.8
110,73.39,0.05,37.4
111,74.07,0.06,39.4
112,74.76,0.02,33.4
113,75.44,0.04,39.4
114,76.04,0.07,41.8
115,76.72,0.06,38.4
116,77.41,0.07,42.6
117,78.09,0.06,39.1
118,78.77,0.05,36.8
119,79.45,0.09,42.8
120,80.05,0.06,35.7
121,80.72,0.02,33.7
122,81.40,0.06,40.9
123,82.08,0.04,35.1
124,82.77,0.05,40.2
125,83.45,0.06,38.6
126,84.04,0.05,37.3
127,84.72,0.06,38.7
128,85.41,0.07,39.7
129,86.09,0.05,36.3
130,86.77,0.04,36.9
131,87.45,0.06,41.7
132,88.05,0.10,41.7
133,88.73,0.04,32.8
134,89.41,0.02,39.3
135,90.09,0.05,39.4
136,90.77,0.00,33.3
137,91.45,0.04,42.0
138,92.05,0.00,38.8
139,92.72,0.04,40.0
140,93.41,-0.01,34.2
141,94.09,0.00,37.8
142,94.77,-0.01,34.9
143,95.46,-0.01,36.5
144,96.05,0.01,38.3
145,96.73,0.01,37.2
146,97.41,0.00,35.3
147,98.08,0.02,39.4
148,98.77,0.04,38.2
149,99.45,0.02,36.1
150,100.05,0.04,41.6
151,100.72,0.01,33.5
152,101.39,0.01,36.7
153,102.08,0.02,40.6
154,102.76,0.02,37.0
155,103.43,0.04,41.0
156,104.12,0.02,38.2
157,104.72,-0.06,29.4
158,105.41,0.04,45.2
159,106.09,0.04,39.5
160,106.76,0.02,36.2
161,107.44,0.00,34.6
162,108.04,0.01,39.2
163,108.72,0.04,42.0
164,109.41,0.01,37.1
165,110.09,0.02,37.4
166,110.77,0.00,34.7
167,111.45,0.02,39.0
168,112.05,0.01,35.9
169,112.73,0.00,36.2
170,113.40,0.01,37.8
171,114.09,0.00,36.9
172,114.76,0.04,40.3
173,115.44,0.01,37.1
174,116.04,0.04,39.4
175,116.72,0.01,37.1
176,117.41,0.01,40.2
177,118.10,0.01,37.6
178,118.77,0.00,34.3
179,119.37,0.00,35.7
180,120.05,0.01,37.8
181,120.74,0.05,42.7
182,121.43,0.00,33.8
183,122.11,0.01,39.9
184,122.71,-0.01,36.0
185,123.38,0.05,42.6
186,124.06,0.02,35.6
187,124.74,0.02,37.4
188,125.43,0.04,39.3
189,126.12,0.01,38.0
190,126.71,0.02,38.1
191,127.38,0.02,37.5
192,128.07,0.01,38.9
193,128.75,0.01,37.8
194,129.43,0.06,44.9
195,130.11,0.00,34.4
196,130.71,0.09,48.6
197,131.39,0.04,37.7
198,132.06,0.02,36.8
199,132.75,0.07,43.3
200,133.44,-0.05,29.3
201,134.12,-0.02,40.0
202,134.72,0.00,39.6
203,135.41,0.00,37.6
204,136.09,-0.02,34.4
205,136.76,0.02,41.2
206,137.45,-0.01,35.9
207,138.12,0.02,41.1
208,138.72,0.00,35.8
209,139.39,0.01,38.2
210,140.08,-0.01,35.5
211,140.76,0.01,41.1
212,141.45,-0.02,33.6
213,142.05,-0.04,33.6
214,142.74,-0.02,37.1
215,143.43,-0.01,41.5
216,144.11,-0.02,39.3
217,144.71,0.01,39.8
218,145.39,-0.02,33.6
219,146.07,-0.02,38.2
220,146.74,0.02,40.7
221,147.43,0.04,39.0
222,148.11,0.02,38.8
223,148.71,-0.01,35.5
224,149.39,0.02,43.1
225,150.06,0.00,35.8
226,150.75,0.01,40.9
227,151.43,0.01,37.4
228,152.12,0.00,38.2
229,152.72,-0.02,31.8
230,153.40,0.04,45.3
231,154.09,0.01,37.6
232,154.77,-0.04,33.1
233,155.46,0.02,45.6
234,156.05,-0.01,37.8
235,156.73,-0.01,38.7
236,157.42,-0.02,36.1
237,158.11,0.01,42.1
238,158.71,0.01,38.1
239,159.39,0.04,40.6
240,160.07,0.02,37.6
241,160.74,0.00,35.3
242,161.42,0.00,37.1
243,162.10,0.00,37.1
244,162.79,0.02,40.3
245,163.38,0.02,38.5
246,164.05,-0.01,34.0
247,164.74,0.04,42.5
248,165.42,-0.01,33.2
249,166.11,0.00,42.7
250,166.71,-0.01,38.1
251,167.39,0.05,45.1
252,168.07,0.02,39.4
253,168.75,0.04,41.2
254,169.43,0.02,37.7
255,170.12,-0.02,34.9
256,170.72,0.00,40.1
257,171.39,-0.01,35.9
258,172.07,-0.02,36.2
259,172.75,0.00,39.0
260,173.43,-0.02,35.3
261,174.11,-0.04,39.1
262,174.71,-0.04,36.9
263,175.39,-0.01,38.5
264,176.07,-0.02,35.4
265,176.75,-0.01,38.2
266,177.43,-0.01,38.7
267,178.12,-0.04,35.5
268,178.73,-0.05,36.7
269,179.41,-0.01,39.3
270,180.10,-0.01,40.0
271,180.77,-0.04,36.8
272,181.38,-0.02,38.9
273,182.05,-0.01,37.5
274,182.74,-0.05,34.8
275,183.42,-0.01,41.2
276,184.11,-0.04,36.0
277,184.79,-0.06,35.2
278,185.38,-0.02,39.4
279,186.06,-0.02,36.8
280,186.73,0.01,40.5
281,187.42,-0.07,28.4
282,188.11,-0.01,42.9
283,188.72,-0.02,37.2
284,189.41,0.00,40.5
285,190.09,-0.01,34.8
286,190.77,-0.01,36.3
287,191.46,0.00,38.3
288,192.05,-0.02,34.2
289,192.73,-0.01,37.9
290,193.41,-0.02,35.1
291,194.09,-0.06,33.5
292,194.77,0.00,41.2
293,195.46,-0.02,36.1
294,196.05,-0.01,37.2
295,196.74,0.02,40.7
296,197.43,-0.06,31.9
297,198.11,-0.04,39.2
298,198.71,-0.01,37.8
299,199.40,-0.04,35.7
300,200.08,-0.02,36.7
301,200.75,-0.02,35.1
302,201.44,-0.02,35.8
303,202.12,0.00,38.3
304,202.72,0.00,38.3
305,203.39,0.01,38.5
306,204.07,0.02,38.8
307,204.76,0.02,37.9
308,205.44,-0.01,34.2
309,206.12,0.00,40.8
310,206.72,-0.01,35.2
311,207.40,-0.02,35.5
312,208.09,0.02,40.8
313,208.77,0.02,37.9
314,209.45,-0.06,29.1
315,210.05,0.01,42.0
316,210.73,-0.01,36.3
317,211.41,0.02,41.9
318,212.11,-0.05,33.8
319,212.72,0.02,41.8
320,213.41,-0.06,31.1
321,214.10,0.00,41.5
322,214.79,-0.05,33.4
323,215.39,0.00,42.0
324,216.09,0.01,39.6
325,216.77,-0.04,33.8
326,217.38,-0.04,36.2
327,218.08,0.01,40.9
328,218.77,-0.01,36.2
329,219.38,-0.05,35.3
330,220.06,0.00,40.6
331,220.75,-0.07,30.8
332,221.45,-0.01,42.2
333,222.06,-0.02,35.8
334,222.75,-0.02,37.5
335,223.44,-0.02,36.2
336,224.12,-0.04,34.2
337,224.72,-0.05,35.3
338,225.41,-0.05,37.3
339,226.11,0.02,44.8
340,226.71,0.01,40.3
341,227.39,-0.04,33.5
342,228.09,0.01,40.7
343,228.78,-0.01,34.7
344,229.38,0.05,41.2
345,230.06,-0.01,31.9
346,230.76,0.01,40.2
347,231.44,-0.02,32.7
348,232.05,0.04,44.3
349,232.73,0.02,36.6
350,233.42,0.02,38.8
351,234.12,0.00,38.4
352,234.72,-0.01,36.0
353,235.40,0.01,38.9
354,236.09,0.06,42.8
355,236.78,0.04,35.5
356,237.37,0.00,32.6
357,238.06,0.00,38.2
358,238.76,0.04,41.2
359,239.45,0.05,38.6
360,240.05,0.02,36.7
361,240.75,0.06,41.4
362,241.43,0.01,33.1
363,242.04,0.04,41.6
364,242.73,0.01,34.8
365,243.41,-0.02,33.5
366,244.10,-0.01,37.5
367,244.71,0.02,41.4
368,245.41,0.04,40.3
369,246.10,-0.01,34.4
370,246.78,-0.01,37.9
371,247.39,0.00,38.3
372,248.08,0.01,39.6
373,248.77,0.02,40.6
374,249.38,0.04,10.7
375,250.06,0.05,8.2
376,250.75,0.11,12.7
377,251.45,0.17,13.7
378,252.06,0.23,14.4
379,252.75,0.29,15.1
380,253.44,0.39,19.4
381,254.04,0.46,22.0
382,254.75,0.59,25.6
383,255.44,0.67,26.2
384,256.12,0.72,23.9
385,256.72,0.74,23.7
386,257.41,0.83,27.2
387,258.10,0.85,80.1
388,258.79,0.89,85.2
389,259.38,0.87,84.2
390,260.06,0.77,76.2
391,260.75,0.66,75.4
392,261.44,0.49,67.4
393,262.05,0.32,60.8
394,262.74,0.17,62.2
395,263.42,0.02,62.0
396,264.11,-0.13,59.2
397,264.72,-0.31,48.0
398,265.42,-0.42,51.7
399,266.11,-0.57,45.8
400,266.71,-0.66,44.4
401,267.41,-0.74,13.7
402,268.10,-0.85,7.3
403,268.71,-0.84,15.5
404,269.40,-0.90,10.4
405,270.09,-0.84,21.1
406,270.78,-0.74,26.1
407,271.39,-0.70,25.4
408,272.08,-0.66,23.4
409,272.77,-0.59,27.2
410,273.45,-0.51,29.0
