Sample,Timestamp,Current Error,PID Control Signal
0,0.06,0.02,6.3
1,1.79,0.01,0.4
2,3.44,-0.01,1.5
3,5.10,0.00,-0.9
4,6.77,-0.01,-2.2
5,8.43,0.05,7.9
6,10.07,0.00,0.9
7,11.75,-0.01,3.3
8,13.40,0.00,0.9
9,15.07,0.00,1.9
10,16.72,-0.01,-0.3
11,18.44,0.02,2.6
12,20.09,0.01,0.4
13,21.75,-0.02,-2.5
14,23.42,0.00,1.0
15,25.07,0.00,1.0
16,26.76,0.00,0.1
17,28.44,-0.01,2.4
18,30.12,-0.05,-5.9
19,31.71,-0.01,-4.9
20,33.45,0.00,1.0
21,35.09,0.00,1.0
22,36.74,0.02,5.4
23,38.41,0.01,4.1
24,40.07,0.01,3.2
25,41.73,0.01,2.3
26,43.44,0.05,7.2
27,45.08,0.00,2.9
28,46.76,-0.01,-1.2
29,48.45,-0.01,0.6
30,50.11,0.00,2.9
31,51.75,-0.02,-0.7
32,53.39,-0.01,-3.1
33,55.12,0.00,2.8
34,56.74,-0.01,-1.3
35,58.40,0.00,3.8
36,60.06,-0.01,-2.1
37,61.74,-0.04,-5.6
38,63.42,-0.04,-2.9
39,65.06,-0.01,-3.1
40,66.74,0.02,4.4
41,68.41,0.01,3.2
42,70.06,-0.01,0.6
43,71.72,-0.02,-3.4
44,73.38,0.00,1.0
45,75.10,0.02,2.7
46,76.77,-0.04,-6.5
47,78.45,-0.02,-2.5
48,80.04,0.01,3.2
49,81.73,-0.01,-2.0
50,83.40,-0.01,-0.2
51,85.05,-0.01,-0.2
52,86.78,-0.01,-1.2
53,88.44,-0.01,-1.2
54,90.11,0.00,-0.8
55,91.77,-0.02,-0.6
56,93.44,0.00,0.1
57,95.10,0.01,3.2
58,96.77,0.00,2.0
59,98.42,0.01,1.4
60,100.05,-0.01,-3.0
61,101.77,-0.02,-1.6
62,103.42,-0.01,-0.3
63,105.06,0.01,0.5
64,106.71,0.00,-0.8
65,108.44,0.00,0.1
66,110.10,0.00,2.0
67,111.75,0.02,3.6
68,113.43,0.00,1.0
69,115.10,0.02,0.9
70,116.74,0.02,3.7
71,118.39,0.00,0.1
72,120.06,-0.01,1.6
73,121.72,0.01,5.1
74,123.38,0.01,3.3
75,125.10,0.01,2.4
76,126.75,-0.01,0.7
77,128.40,0.00,-0.7
78,130.11,-0.01,-0.2
79,131.75,0.00,-0.8
80,133.40,0.00,1.1
81,135.05,-0.02,-2.4
82,136.77,-0.01,1.7
83,138.43,-0.02,-0.5
84,140.07,-0.05,-6.9
85,141.73,0.00,1.1
86,143.39,-0.02,-3.3
87,145.04,-0.01,-1.1
88,146.78,0.01,3.3
89,148.44,0.01,3.3
90,150.07,-0.02,-0.6
91,151.71,-0.01,-0.2
92,153.44,0.02,5.5
93,155.10,-0.01,-0.2
94,156.77,0.00,1.1
95,158.43,0.02,3.6
96,160.08,-0.02,-1.5
97,161.74,-0.01,-0.2
98,163.40,0.01,3.3
99,165.04,-0.02,-0.6
100,166.76,-0.01,-0.3
101,168.43,0.01,1.4
102,170.09,-0.01,-2.1
103,171.74,0.00,2.0
104,173.41,0.01,3.3
105,175.05,-0.01,-1.2
106,176.74,-0.01,-1.1
107,178.39,0.00,-0.7
108,180.05,0.01,3.3
109,181.77,0.00,2.0
110,183.43,0.00,2.0
111,185.10,-0.01,0.7
112,186.76,-0.02,-5.1
113,188.40,0.04,6.8
114,190.12,0.01,3.3
115,191.78,0.00,1.1
116,193.43,0.00,2.9
117,195.07,0.02,4.7
118,196.72,-0.02,1.3
119,198.37,0.01,3.3
120,200.12,-0.01,0.7
121,201.76,0.01,2.4
122,203.44,0.00,1.1
123,205.10,-0.02,-1.5
124,206.73,0.01,2.4
125,208.38,0.00,0.1
126,210.12,0.04,6.8
127,211.77,0.00,2.0
128,213.44,-0.02,-5.2
129,215.10,0.01,4.2
130,216.74,-0.01,-1.2
131,218.39,-0.04,-4.7
132,220.04,0.02,5.5
133,221.71,0.02,4.6
134,223.44,0.00,0.2
135,225.10,0.01,2.4
136,226.75,0.04,5.0
137,228.39,-0.01,-0.2
138,230.05,0.01,3.3
139,231.77,-0.02,-0.6
140,233.43,-0.02,-1.5
141,235.09,0.01,3.3
142,236.74,0.00,2.9
143,238.39,-0.01,-2.1
144,240.06,0.00,1.1
145,241.73,0.02,4.6
146,243.39,0.01,4.3
147,245.05,0.01,3.3
148,246.73,0.02,5.4
149,248.45,-0.01,-0.2
150,250.10,0.00,0.2
151,251.76,-0.01,-1.2
152,253.39,-0.01,-2.1
153,255.12,-0.02,-0.6
154,256.76,0.00,2.0
155,258.43,-0.01,-0.2
156,260.09,-0.02,-1.5
157,261.74,-0.01,-1.2
158,263.40,0.01,2.3
159,265.07,-0.02,-2.4
160,266.71,0.01,4.2
161,268.44,0.01,2.4
162,270.09,0.01,2.4
163,271.75,0.01,1.4
164,273.41,0.02,4.6
165,275.06,-0.01,-3.0
166,276.74,-0.05,-6.8
167,278.40,0.02,3.7
168,280.04,0.00,0.1
169,281.77,-0.01,-1.2
170,283.44,-0.01,-0.2
171,285.09,0.04,6.8
172,286.75,0.02,6.4
173,288.42,-0.01,0.7
174,290.09,-0.02,-0.6
175,291.74,0.00,-2.6
176,293.40,0.04,6.8
177,295.05,0.00,2.0
178,296.71,0.05,6.2
179,298.43,0.05,5.3
180,300.09,-0.02,-1.5
181,301.74,-0.02,-0.6
182,303.45,0.02,2.7
183,305.11,-0.01,0.7
184,306.74,-0.01,-0.2
185,308.40,-0.01,0.7
186,310.05,0.02,3.7
187,311.71,-0.02,-2.4
188,313.44,0.05,9.0
189,315.08,-0.01,-0.2
190,316.73,0.01,1.4
191,318.38,-0.04,-3.7
192,320.11,0.01,-0.4
193,321.76,-0.01,-0.2
194,323.40,-0.01,-2.1
195,325.05,-0.01,-0.2
196,326.77,0.02,3.7
197,328.43,-0.01,-2.1
198,330.09,-0.01,0.7
199,331.75,-0.01,0.7
200,333.42,0.01,-0.4
201,335.06,0.00,2.0
202,336.79,-0.01,-1.2
203,338.38,0.05,8.1
