Sample,Timestamp,Current Error,PID Control Signal
0,0.04,0.00,-115.8
1,0.31,0.00,-145.0
2,0.57,-0.01,-132.1
3,0.83,-0.01,-138.0
4,1.08,0.05,-127.8
5,1.34,0.07,-128.0
6,1.61,0.15,-163.1
7,1.79,0.23,-132.2
8,2.05,0.28,-131.0
9,2.31,0.40,-117.1
10,2.57,0.54,-114.5
11,2.84,0.65,-119.9
12,3.10,0.78,-114.2
13,3.36,0.90,-103.5
14,3.53,0.96,-99.4
15,3.78,1.07,-103.6
16,4.05,1.21,-104.9
17,4.31,1.35,-109.5
18,4.58,1.48,-101.1
19,4.83,1.60,-90.8
20,5.09,1.78,-93.1
21,5.36,1.94,-86.4
22,5.53,1.98,-80.8
23,5.79,2.09,-98.0
24,6.05,2.20,-94.9
25,6.31,2.34,-78.1
26,6.57,2.49,-72.1
27,6.83,2.59,-71.2
28,7.10,2.72,-81.4
29,7.35,2.82,-66.4
30,7.53,2.89,-73.1
31,7.79,3.00,-77.6
32,8.05,3.08,-63.7
33,8.32,3.17,-82.6
34,8.58,3.27,-64.9
35,8.84,3.33,-60.9
36,9.09,3.38,-62.0
37,9.27,3.45,-82.6
38,9.53,3.53,-75.4
39,9.79,3.58,-75.1
40,10.05,3.64,-76.8
41,10.31,3.66,-70.2
42,10.57,3.74,-61.2
43,10.83,3.77,-65.4
44,11.08,3.77,-62.0
45,11.27,3.81,-72.1
46,11.53,3.81,47.0
47,11.78,3.87,56.9
48,12.04,3.87,55.8
49,12.30,3.81,47.4
50,12.56,3.78,41.1
51,12.82,3.72,38.4
52,13.08,3.66,35.3
53,13.33,3.52,27.2
54,13.51,3.47,21.8
55,13.77,3.36,14.6
56,14.04,3.21,12.7
57,14.29,3.05,6.2
58,14.56,2.89,-7.1
59,14.82,2.72,-9.4
60,15.07,2.60,-6.2
61,15.25,2.49,-10.2
62,15.51,2.28,-18.7
63,15.77,2.12,-25.1
64,16.03,1.90,-34.2
65,16.29,1.76,-33.9
66,16.55,1.55,-46.7
67,16.82,1.39,-40.0
68,16.99,1.26,-53.0
69,17.26,1.10,-51.4
70,17.51,0.92,-58.8
71,17.77,0.76,-61.3
72,18.04,0.57,-70.0
73,18.30,0.39,-73.2
74,18.57,0.24,-78.2
75,18.82,0.10,-77.4
76,19.00,0.07,-74.7
77,19.26,-0.09,-81.6
78,19.53,-0.24,-83.1
79,19.79,-0.29,-79.3
80,20.05,-0.44,-88.9
81,20.31,-0.52,-91.0
82,20.57,-0.62,-96.2
83,20.74,-0.67,-86.2
84,21.01,-0.72,-89.2
85,21.27,-0.79,-88.6
86,21.52,-0.81,-84.4
87,21.79,-0.89,-94.8
88,22.05,-0.95,-95.0
89,22.23,-0.98,-94.8
90,22.49,-0.96,-87.8
91,22.75,-0.95,-85.1
92,23.01,-1.00,-82.8
93,23.26,-1.01,-86.6
94,23.53,-1.01,-92.2
95,23.79,-1.01,-86.2
96,24.05,-0.98,-83.6
97,24.31,-0.96,-85.8
98,24.48,-0.89,-70.9
99,24.75,-0.87,-74.0
100,25.00,-0.79,-64.8
101,25.26,-0.74,-68.9
102,25.52,-0.70,-64.3
103,25.78,-0.65,-64.4
104,26.04,-0.59,-66.4
105,26.30,-0.49,-59.6
106,26.47,-0.44,-59.3
107,26.74,-0.43,-57.2
108,27.00,-0.29,-54.7
109,27.27,-0.21,-48.8
110,27.53,-0.12,-46.2
111,27.79,-0.06,-44.1
112,28.05,0.02,-45.8
113,28.22,0.07,-38.3
114,28.48,0.16,-36.7
115,28.74,0.24,-31.3
116,29.00,0.28,-39.0
117,29.26,0.43,-24.7
118,29.52,0.44,-35.8
119,29.79,0.54,-30.5
120,30.04,0.62,-25.2
121,30.22,0.68,-21.2
122,30.49,0.70,-26.8
123,30.75,0.77,-22.6
124,31.01,0.84,-20.0
125,31.26,0.89,-16.5
126,31.53,0.90,-23.0
127,31.79,0.95,-19.1
128,31.96,1.00,-18.4
129,32.22,1.01,-16.4
130,32.48,1.05,-14.6
131,32.74,1.07,-20.7
132,33.01,1.07,-20.5
133,33.27,1.11,-14.2
134,33.52,1.10,-20.4
135,33.78,1.09,-20.9
136,33.96,1.15,-18.5
137,34.22,1.12,-21.1
138,34.48,1.10,-17.1
139,34.74,1.12,-17.9
140,35.00,1.09,-22.2
141,35.27,1.07,-23.6
142,35.53,1.04,-25.8
143,35.70,1.06,-19.5
144,35.96,1.01,-27.4
145,36.21,1.01,-21.8
146,36.47,0.93,-30.9
147,36.73,0.90,-28.7
148,37.00,0.87,-37.4
149,37.26,0.81,-37.7
150,37.51,0.78,-32.1
151,37.69,0.74,-35.6
152,37.95,0.66,-42.4
153,38.21,0.63,-41.6
154,38.47,0.61,-36.2
155,38.73,0.56,-40.5
156,38.99,0.54,-40.2
157,39.26,0.49,-40.2
158,39.52,0.43,-45.9
159,39.70,0.34,-53.1
160,39.96,0.32,-52.0
161,40.22,0.28,-50.0
162,40.48,0.24,-49.4
163,40.74,0.20,-49.4
164,41.01,0.17,-54.9
165,41.18,0.13,-51.5
166,41.44,0.13,-48.0
167,41.70,0.11,-50.1
168,41.95,0.05,-49.3
169,42.21,0.01,-55.3
170,42.47,-0.01,-52.0
171,42.73,0.01,-48.6
172,42.99,-0.04,-51.4
173,43.24,-0.04,-50.5
174,43.50,-0.06,-53.1
175,43.68,-0.06,-52.6
176,43.94,-0.05,-50.0
177,44.21,-0.11,-58.5
178,44.47,-0.07,-48.6
179,44.73,-0.06,-50.5
180,44.98,-0.05,-45.2
181,45.25,-0.09,-54.8
182,45.43,-0.10,-53.4
183,45.69,-0.05,-53.3
184,45.95,-0.05,-45.3
185,46.21,-0.02,-47.7
186,46.47,0.01,-47.5
187,46.74,0.04,-41.5
188,47.00,0.04,-45.5
189,47.18,0.02,-46.2
190,47.43,0.02,-48.0
191,47.70,0.07,-44.3
192,47.96,0.07,-46.5
193,48.23,0.13,-42.5
194,48.49,0.16,-35.5
195,48.66,0.13,-42.0
196,48.93,0.13,-49.0
197,49.19,0.15,-44.1
198,49.45,0.18,-39.0
199,49.71,0.18,-38.0
200,49.97,0.20,-42.5
201,50.24,0.21,-42.1
202,50.41,0.21,-39.4
203,50.68,0.23,-37.8
204,50.93,0.26,-34.7
205,51.19,0.29,-34.4
206,51.45,0.22,-40.5
207,51.72,0.28,-42.6
208,51.97,0.28,-36.3
209,52.15,0.32,-29.0
210,52.41,0.34,-30.8
211,52.67,0.31,-43.8
212,52.93,0.35,-35.2
213,53.19,0.32,-39.3
214,53.44,0.33,-35.3
215,53.70,0.33,-37.0
216,53.96,0.32,-38.6
217,54.22,0.32,-41.6
218,54.48,0.35,-34.2
219,54.66,0.37,-38.3
220,54.92,0.33,-35.2
221,55.18,0.32,-39.0
222,55.44,0.29,-42.3
223,55.70,0.29,-42.3
224,55.96,0.29,-37.8
225,56.22,0.33,-35.7
226,56.39,0.28,-38.0
227,56.66,0.29,-39.3
228,56.91,0.32,-39.4
229,57.18,0.26,-42.1
230,57.44,0.26,-42.0
231,57.69,0.28,-33.7
232,57.95,0.24,-37.3
233,58.21,0.23,-40.8
234,58.46,0.22,-40.2
235,58.64,0.21,-46.7
236,58.91,0.15,-46.6
237,59.16,0.21,-38.2
238,59.43,0.15,-43.5
239,59.69,0.16,-44.0
240,59.95,0.12,-45.0
241,60.20,0.11,-44.1
242,60.38,0.16,-39.9
243,60.64,0.13,-46.4
244,60.90,0.11,-41.3
245,61.15,0.12,-44.5
246,61.41,0.10,-47.0
247,61.67,0.09,-47.3
248,61.93,0.11,-43.0
249,62.19,0.10,-42.4
250,62.45,0.06,-44.8
251,62.63,0.05,-54.0
252,62.90,0.12,-41.7
253,63.16,0.07,-40.0
254,63.42,0.07,-42.6
255,63.68,0.10,-40.6
256,63.94,0.11,-39.3
257,64.12,0.07,-42.1
258,64.38,0.04,-50.2
259,64.64,0.07,-50.1
260,64.90,0.04,-46.3
261,65.15,0.05,-41.9
262,65.41,0.10,-37.3
263,65.67,0.04,-47.6
264,65.94,0.05,-44.5
265,66.19,0.05,-45.4
266,66.37,0.06,-40.6
267,66.62,0.07,-38.9
268,66.89,0.04,-44.0
269,67.15,0.00,-54.4
270,67.41,0.01,-46.4
271,67.67,0.04,-45.7
272,67.92,0.07,-39.7
273,68.18,0.02,-42.5
274,68.44,0.02,-44.7
275,68.61,0.06,-40.5
276,68.87,0.05,-43.5
277,69.13,0.04,-40.8
278,69.39,0.05,-42.2
279,69.65,0.04,-47.4
280,69.91,0.02,-42.9
281,70.18,0.04,-43.0
282,70.43,0.01,-49.0
283,70.61,0.06,-39.6
284,70.87,0.07,-40.6
285,71.13,0.02,-42.4
286,71.39,0.06,-39.5
287,71.65,0.04,-47.8
288,71.92,0.06,-42.2
289,72.18,0.04,-44.2
290,72.35,0.07,-39.1
291,72.61,0.09,-46.3
292,72.88,0.07,-41.8
293,73.13,0.05,-43.7
294,73.39,0.05,-42.8
295,73.66,0.05,-47.7
296,73.92,0.07,-41.7
297,74.10,0.10,-37.4
298,74.35,0.11,-37.5
299,74.62,0.05,-50.7
300,74.87,0.07,-40.2
301,75.13,0.05,-46.7
302,75.39,0.07,-41.1
303,75.65,0.11,-39.5
304,75.91,0.07,-42.4
305,76.17,0.01,-50.4
306,76.34,0.05,-46.6
307,76.61,0.09,-45.5
308,76.87,0.09,-35.8
309,77.13,0.09,-38.4
310,77.39,0.07,-40.5
311,77.65,0.06,-51.5
312,77.91,0.04,-43.8
313,78.17,0.00,-51.5
314,78.35,0.05,-43.0
315,78.60,0.04,-43.8
316,78.86,0.09,-36.2
317,79.12,0.05,-40.7
318,79.38,0.06,-39.4
319,79.65,0.05,-47.8
320,79.90,0.04,-41.9
321,80.16,0.01,-42.7
322,80.33,0.04,-47.2
323,80.60,0.07,-42.7
324,80.86,0.09,-38.3
325,81.12,0.07,-37.2
326,81.38,0.09,-39.9
327,81.64,0.07,-42.1
328,81.82,0.04,-48.9
329,82.08,0.02,-45.7
330,82.33,0.06,-42.4
331,82.60,0.06,-46.4
332,82.86,0.07,-38.5
333,83.12,0.04,-44.4
334,83.38,0.07,-41.5
335,83.64,0.05,-46.7
336,83.89,0.05,-38.7
337,84.07,0.05,-47.5
338,84.33,0.04,-45.7
339,84.59,0.06,-40.5
340,84.85,0.01,-50.8
341,85.11,0.07,-39.7
342,85.37,0.04,-46.5
343,85.63,0.06,-38.2
344,85.89,0.04,-42.5
345,86.06,0.01,-47.2
346,86.33,0.05,-43.9
347,86.59,0.10,-34.5
348,86.84,0.07,-34.2
349,87.10,0.05,-43.4
