Sample,Timestamp,Current Error,PID Control Signal
0,0.04,0.00,81.4
1,0.30,0.04,88.0
2,0.57,0.00,84.5
3,0.83,0.01,88.3
4,1.09,-0.01,79.5
5,1.35,-0.06,74.6
6,1.61,-0.10,72.8
7,1.79,-0.16,77.6
8,2.05,-0.18,72.5
9,2.30,-0.27,62.7
10,2.56,-0.31,74.6
11,2.83,-0.35,68.6
12,3.08,-0.45,62.4
13,3.37,-0.49,127.6
14,3.55,-0.55,62.3
15,3.81,-0.60,70.2
16,4.07,-0.65,63.4
17,4.32,-0.76,57.2
18,4.59,-0.83,55.1
19,4.85,-0.87,63.5
20,5.11,-0.98,55.1
21,5.28,-1.00,61.0
22,5.54,-1.04,60.8
23,5.80,-1.06,67.0
24,6.06,-1.10,63.1
25,6.32,-1.20,50.4
26,6.58,-1.25,58.4
27,6.84,-1.27,54.9
28,7.09,-1.32,56.0
29,7.35,-1.35,52.8
30,7.52,-1.39,51.4
31,7.78,-1.37,77.7
32,8.05,-1.40,66.1
33,8.31,-1.43,69.8
34,8.57,-1.50,53.6
35,8.82,-1.50,55.9
36,9.09,-1.51,65.5
37,9.27,-1.53,70.3
38,9.53,-1.54,66.9
39,9.79,-1.54,68.5
40,10.04,-1.61,57.6
41,10.30,-1.64,55.8
42,10.56,-1.70,52.8
43,10.83,-1.71,65.6
44,11.09,-1.72,56.0
45,11.34,-1.72,61.1
46,11.52,-1.76,58.6
47,11.78,-1.79,62.3
48,12.03,-1.78,64.2
49,12.30,-1.79,70.2
50,12.56,-1.83,67.6
51,12.82,-1.93,45.6
52,13.08,-1.86,60.1
53,13.25,-1.89,63.9
54,13.52,-1.92,69.0
55,13.79,-1.99,63.4
56,14.05,-1.98,55.1
57,14.30,-1.97,57.2
58,14.56,-2.00,66.1
59,14.83,-1.95,65.4
60,15.00,-2.08,52.4
61,15.26,-2.01,61.8
62,15.52,-2.10,46.9
63,15.79,-2.08,74.0
64,16.05,-2.06,60.4
65,16.31,-2.08,70.4
66,16.57,-2.03,68.5
67,16.74,-2.08,63.0
68,17.00,-2.05,63.6
69,17.26,-2.03,63.1
70,17.52,-2.08,73.1
71,17.79,-2.03,78.6
72,18.04,-2.01,65.9
73,18.30,-1.94,75.8
74,18.56,-1.97,79.8
75,18.82,-1.97,74.2
76,19.00,-1.99,81.7
77,19.26,-1.95,80.6
78,19.51,-1.92,85.0
79,19.78,-1.88,90.2
80,20.04,-1.88,88.2
81,20.30,-1.86,89.6
82,20.57,-1.86,16.1
83,20.74,-1.87,7.9
84,21.00,-1.84,9.5
85,21.26,-1.77,17.9
86,21.52,-1.75,20.8
87,21.78,-1.70,23.1
88,22.05,-1.66,23.7
89,22.31,-1.61,22.6
90,22.48,-1.57,22.9
91,22.74,-1.54,23.5
92,23.00,-1.48,25.9
93,23.26,-1.38,37.1
94,23.52,-1.33,30.2
95,23.79,-1.31,31.0
96,24.05,-1.26,32.1
97,24.23,-1.20,38.0
98,24.49,-1.09,40.4
99,24.74,-1.06,39.2
100,25.00,-1.03,37.2
101,25.26,-0.96,37.9
102,25.52,-0.89,40.3
103,25.78,-0.83,47.6
104,26.04,-0.79,43.5
105,26.30,-0.77,37.9
106,26.47,-0.74,40.8
107,26.73,-0.72,45.8
108,26.99,-0.66,44.7
109,27.26,-0.63,46.5
110,27.52,-0.65,40.3
111,27.78,-0.56,50.3
112,28.04,-0.61,42.5
113,28.30,-0.56,44.2
114,28.47,-0.60,35.0
115,28.73,-0.57,40.9
116,28.99,-0.54,43.7
117,29.25,-0.54,42.2
118,29.51,-0.50,43.6
119,29.78,-0.49,48.7
120,30.03,-0.49,42.3
121,30.29,-0.48,43.0
122,30.46,-0.48,39.9
123,30.73,-0.42,52.7
124,30.99,-0.40,47.5
125,31.25,-0.38,46.8
126,31.52,-0.37,50.7
127,31.78,-0.38,48.5
128,32.04,-0.31,54.5
129,32.22,-0.34,49.4
130,32.48,-0.28,52.4
131,32.74,-0.23,60.0
132,33.00,-0.26,54.9
133,33.27,-0.20,54.8
134,33.53,-0.20,54.8
135,33.71,-0.16,54.5
136,33.96,-0.17,54.2
