Sample,Timestamp,Current Error,PID Control Signal
0,0.04,0.00,-18.1
1,0.74,-0.04,-21.2
2,1.44,0.01,-15.8
3,2.04,0.05,-16.5
4,2.73,0.09,-15.7
5,3.41,0.12,-13.6
6,4.09,0.13,-18.2
7,4.71,0.13,-21.1
8,5.39,0.12,-20.3
9,6.08,0.16,-18.9
10,6.77,0.11,-27.7
11,7.38,0.11,-25.1
12,8.06,0.12,-26.1
13,8.74,0.10,-26.0
14,9.43,0.15,-23.8
15,10.12,0.07,-37.2
16,10.73,0.05,-28.8
17,11.41,0.02,-32.4
18,12.10,0.05,-30.5
19,12.79,0.09,-29.6
20,13.39,0.07,-36.2
21,14.08,0.07,-34.7
22,14.78,0.11,-34.7
23,15.38,0.15,-32.8
24,16.08,0.16,-39.8
25,16.76,0.21,-33.9
26,17.45,0.24,-30.7
27,18.05,0.26,-32.0
28,18.74,0.28,-33.7
29,19.43,0.34,-34.4
30,20.12,0.35,-34.2
31,20.73,0.37,-35.5
32,21.41,0.40,-35.6
33,22.09,0.43,-33.7
34,22.79,0.40,-41.8
35,23.39,0.40,-41.8
36,24.08,0.40,-37.2
37,24.78,0.49,-35.6
38,25.39,0.51,-37.4
39,26.09,0.51,-41.0
40,26.78,0.51,-43.5
41,27.38,0.52,-41.3
42,28.07,0.59,-36.8
43,28.76,0.60,-40.8
44,29.45,0.61,-37.8
45,30.05,0.57,-47.4
46,30.74,0.62,-41.4
47,31.43,0.65,-8.5
48,32.11,0.63,-11.1
49,32.73,0.60,-16.1
50,33.41,0.56,-14.4
51,34.10,0.46,-23.0
52,34.79,0.39,-24.0
53,35.40,0.32,-25.1
54,36.09,0.26,-26.7
55,36.78,0.18,-29.6
56,37.39,0.10,-37.2
57,38.08,0.01,-33.8
58,38.77,-0.05,-36.4
59,39.39,-0.06,-30.7
60,40.07,-0.12,-35.4
61,40.76,-0.16,-37.3
62,41.45,-0.17,-33.5
63,42.05,-0.18,-38.2
64,42.74,-0.20,-36.9
65,43.41,-0.17,-32.0
66,44.11,-0.20,-38.1
67,44.72,-0.21,-35.9
68,45.41,-0.13,-26.9
69,46.08,-0.12,-29.4
70,46.76,-0.05,-25.2
71,47.45,-0.07,-32.3
72,48.05,0.01,-21.7
73,48.74,0.01,-28.8
74,49.43,0.10,-22.5
75,50.12,0.07,-27.8
76,50.72,0.10,-24.4
77,51.41,0.16,-21.4
78,52.09,0.15,-24.5
79,52.77,0.13,-27.3
80,53.45,0.13,-25.5
81,54.05,0.13,-25.5
82,54.73,0.17,-20.7
83,55.41,0.13,-26.2
84,56.09,0.11,-26.0
85,56.77,0.13,-25.7
86,57.38,0.12,-27.0
