Sample,X,Y,Z
0,0.1003,-0.0430,0.9749
1,0.0613,-0.0332,1.0022
2,0.0510,-0.0378,0.9780
3,-0.0447,0.0132,0.9771
4,-0.0835,0.0471,1.0071
5,-0.0964,0.0229,0.9634
6,-0.0671,-0.0090,0.9807
7,-0.0068,-0.0430,0.9661
8,0.0608,-0.0410,0.9856
9,0.0745,0.0505,0.9924
10,0.0598,0.0125,0.9509
11,0.0405,0.0625,0.9993
12,-0.0396,-0.0291,0.9866
13,-0.0413,-0.0679,0.9778
14,-0.0583,-0.0017,1.0044
15,-0.0344,-0.0249,0.9768
16,0.0256,0.0356,0.9790
17,-0.0085,0.0059,0.9790
18,0.0085,0.0220,0.9849
19,-0.0112,-0.0071,0.9485
20,0.0220,0.0005,0.9827
21,0.0310,0.0476,0.9954
22,0.0420,0.0168,0.9856
23,0.0159,0.0154,0.9839
24,-0.0381,-0.0481,0.9995
25,-0.0500,-0.0254,0.9954
26,-0.0981,-0.1064,0.9507
27,0.0159,0.0186,1.0083
28,0.0371,0.0391,0.9778
29,0.0828,0.0632,0.9263
30,0.0710,0.1162,0.9810
31,-0.0205,-0.0229,0.9797
32,-0.0437,-0.0349,1.0063
33,-0.0891,-0.0581,0.9956
34,-0.0083,0.0386,0.9954
35,0.0054,-0.0149,0.9426
36,0.0417,0.0110,1.0122
37,0.0571,-0.0269,0.9983
38,-0.0212,-0.0940,0.9397
39,0.0276,0.0781,1.0286
40,-0.0149,-0.0269,0.9211
41,-0.0251,0.0598,1.0022
42,-0.0432,0.0674,1.0063
43,-0.0625,-0.0674,0.9341
44,-0.0061,0.0635,1.0112
45,0.0527,-0.0894,0.9583
46,0.0894,0.0120,1.0002
47,0.0505,-0.0061,1.0002
48,0.0188,0.0271,0.9841
49,-0.0779,0.0017,0.9739
50,-0.1047,-0.0569,0.9827
51,-0.0608,-0.0234,0.9895
52,0.0044,-0.0251,0.9722
53,0.1003,0.0803,0.9788
54,0.0667,0.0366,0.9514
55,0.0564,0.0786,0.9761
56,-0.0168,-0.0427,0.9731
57,-0.0608,-0.0312,1.0032
58,-0.0671,-0.0215,0.9839
59,-0.0422,-0.0166,0.9917
60,0.0212,0.0420,1.0093
61,0.0117,-0.0203,0.9875
62,0.0532,0.0203,0.9719
63,0.0598,-0.0193,0.9790
64,0.0159,0.0046,0.9507
65,-0.0044,0.0078,0.9849
66,-0.0488,0.0381,0.9602
67,-0.0837,0.0144,0.9790
68,-0.0276,0.0840,1.0168
69,-0.0461,-0.1064,0.9153
70,0.0710,0.0422,1.0667
71,0.0767,-0.0537,0.9553
72,0.0264,-0.0635,0.9819
73,0.0227,0.0916,1.0474
74,-0.0244,-0.0879,0.9058
75,-0.0286,0.1240,1.0071
76,-0.0217,-0.0110,0.9358
77,-0.0024,-0.0146,0.9719
78,-0.0298,0.0076,1.0132
79,0.0037,-0.0454,0.9602
80,0.0249,0.0889,0.9846
81,0.0476,-0.0183,0.9761
82,0.0339,0.0024,1.0276
83,-0.0369,-0.1003,0.9849
84,-0.0518,-0.0583,0.9858
85,-0.0684,0.0269,0.9712
86,-0.0112,0.0520,0.9631
87,0.0447,0.0747,0.9497
88,0.1067,0.0403,0.9768
89,0.0566,0.0107,0.9719
90,0.0037,-0.0322,0.9888
91,-0.0576,-0.0144,1.0129
92,-0.1008,-0.0698,0.9954
93,-0.0493,0.0244,1.0142
94,-0.0166,0.0046,0.9412
95,0.0225,0.0227,0.9905
96,0.0525,-0.0085,0.9810
97,0.0613,-0.0327,0.9790
98,0.0427,0.0696,0.9644
99,0.0281,0.0601,0.9575
100,-0.0276,0.0991,0.9895
101,-0.0796,-0.0764,0.9692
102,0.1157,-0.0371,1.0315
103,0.7944,-0.0154,1.0833
104,1.6519,0.0217,1.0168
105,1.9980,0.2759,1.1108
106,1.9980,0.1738,0.9224
107,1.9980,0.0642,0.8901
108,1.9978,0.0669,0.9944
109,1.9980,0.1089,1.0083
110,1.9978,-0.0581,0.9050
111,1.9980,0.3247,1.1987
112,1.9978,0.4543,1.0090
113,1.9978,0.2024,0.7786
114,1.9980,0.3691,1.2954
115,1.9978,0.2693,1.0676
116,1.9980,-0.1196,0.7603
117,1.9980,0.1838,1.0044
118,1.5952,0.1775,0.9812
119,1.5667,0.1406,0.6411
120,1.9958,0.4153,0.9519
121,1.9978,0.6106,1.2180
122,1.9980,0.3384,0.8374
123,1.9978,0.0613,1.0217
124,1.8850,0.0430,1.3491
125,0.8684,-0.5339,1.0894
126,-0.0117,-0.2231,1.1223
127,-0.2539,-0.1746,1.0461
128,-0.4106,-0.2830,0.7397
129,-0.5066,0.1521,0.8792
130,-0.0625,0.5305,0.7756
131,0.3010,0.4819,0.6279
132,0.1089,0.4985,1.0337
133,-0.0417,-0.1182,1.1472
134,-0.5730,-0.8813,1.1194
135,-1.3745,-0.5359,1.5386
136,-1.8918,-0.3792,1.1948
137,-1.6030,-0.1201,0.7632
138,-0.7966,0.2747,0.9373
139,0.2764,0.1672,0.8977
140,1.3052,0.1064,0.6926
141,1.9978,0.1477,0.8127
142,1.9980,0.7104,1.0747
143,1.9722,0.6526,0.7864
144,1.7249,0.3853,0.8774
145,1.5178,0.1880,1.3618
146,1.3928,-0.3606,1.2974
147,1.4446,-0.5720,1.0728
148,1.5432,-0.5261,1.1567
149,1.4055,-0.1189,1.0659
150,0.7456,0.1306,0.6399
151,0.0688,0.5581,0.6899
152,-0.4116,0.7769,0.8794
153,-0.7000,0.1943,0.7961
154,-0.3938,-0.1023,1.0688
155,0.1301,-0.7427,1.2092
156,0.5818,-0.6736,1.2661
157,0.8696,-0.2544,1.1184
158,0.7700,-0.0073,0.9622
159,0.4456,0.2104,1.0176
160,-0.1033,-0.1897,0.8745
161,-0.2729,-0.2800,0.9331
162,-0.2114,-0.1614,0.9233
163,0.0640,0.6184,0.9065
164,0.4160,1.0071,0.7805
165,0.4285,0.6841,0.8491
166,0.0554,0.3125,1.1685
167,-0.6069,-0.3845,1.0884
168,-1.0503,-0.4558,1.0249
169,-0.9998,-0.2078,1.0813
170,-0.5835,0.0884,1.0190
171,-0.2764,-0.0376,0.8997
172,0.0850,0.1912,1.0090
173,0.2502,0.2383,0.9292
174,0.1487,0.1965,0.8938
175,0.0103,-0.0708,1.0366
176,-0.1050,-0.1497,1.1147
177,0.0369,0.0151,1.0159
178,-0.0938,-0.2593,0.7505
179,-0.1438,-0.3682,1.0129
180,-0.4121,-1.2009,0.9624
181,-0.7283,-1.1372,1.0149
182,-0.6472,-0.1069,1.0383
183,-0.3601,0.6052,0.6741
184,-0.0972,0.9185,0.8159
185,0.2004,0.5481,1.0940
186,0.2256,-0.0249,1.0171
187,0.2356,-0.1360,1.0874
188,0.2156,-0.1060,1.0640
189,0.2441,-0.1133,0.9651
190,0.4563,0.1096,1.0874
191,0.3928,-0.1355,0.9731
192,0.3149,-0.1016,0.9651
193,0.2937,0.0627,0.9722
194,0.0715,0.1350,0.9106
195,-0.0254,0.3274,0.8997
196,-0.0854,0.4998,0.9055
197,-0.1804,0.2744,0.8816
198,-0.2468,-0.1743,0.9553
199,-0.4126,-0.4773,1.0903
200,-0.3594,-0.5310,1.0464
201,-0.4304,-0.3584,0.9700
202,-0.2288,0.2847,1.0718
203,0.2710,-0.0234,0.8264
204,0.3638,-0.0903,1.0164
205,0.3667,0.1184,1.1848
206,-0.0417,-0.1057,0.7847
207,-0.1890,0.0540,0.9790
208,-0.2417,-0.0713,1.0229
209,-0.2241,-0.1646,0.8765
210,-0.1445,-0.0723,0.8303
211,0.1353,-0.1692,0.9370
212,0.0996,-0.2551,1.0718
213,0.1450,-0.5254,0.9465
214,0.2703,-0.4666,1.0552
215,0.1670,-0.0242,1.1575
216,-0.0068,0.1938,0.9321
217,-0.1484,0.4629,0.9146
218,-0.2468,0.2856,0.9094
219,-0.4487,-0.0591,0.9097
220,-0.4663,-0.3494,0.9800
221,-0.2234,-0.3765,0.9690
222,0.0662,0.1743,1.0776
223,0.4175,0.6086,0.8733
224,0.5688,0.5808,0.8352
225,0.2922,0.4370,1.1616
226,0.1812,-0.1960,1.0640
227,-0.1042,-0.7163,1.0002
228,-0.0229,-0.0361,1.3179
229,0.2903,0.2749,0.8384
230,0.5776,0.8040,0.7473
231,0.8196,1.0044,0.9761
232,0.5952,0.1616,0.8313
233,0.4827,-0.2468,0.9771
234,0.4504,-0.3406,1.1460
235,0.4741,0.0259,1.0667
236,0.5725,0.2358,0.9536
237,0.6663,0.3608,1.0210
238,0.6147,0.2952,1.0881
239,0.5488,0.2122,0.9309
240,0.2119,0.3450,0.8762
241,0.2202,1.0090,1.0090
242,0.1392,1.0696,0.7791
243,-0.1377,0.8862,0.9106
244,-0.3154,0.4019,1.0298
245,-0.7322,-0.4956,1.1086
246,-0.9985,-0.7493,1.2808
247,-1.0308,-0.9880,1.2085
248,-0.9382,-0.3313,1.0999
249,-0.6628,0.0347,0.8489
250,-0.5251,-0.2808,0.7234
251,-0.5466,-0.7876,0.9592
252,-0.5603,-1.5356,0.9143
253,-0.5427,-1.2212,0.8665
254,-0.3108,0.0481,1.0081
255,-0.1045,0.4421,0.6597
256,0.0657,0.3892,0.9487
257,0.0654,-0.5173,1.1831
258,0.0559,-0.9431,1.2280
259,0.1082,-0.4409,1.2112
260,0.1270,0.3628,0.9536
261,0.1321,0.7085,0.8896
262,0.1162,0.5337,0.9185
263,0.0183,-0.0020,0.9556
264,-0.0918,-0.0024,0.9912
265,-0.1655,0.0901,0.8809
266,-0.1265,0.1509,0.9067
267,0.0500,0.5425,1.1206
268,0.0940,0.3413,0.9526
269,0.2422,0.0908,0.9583
270,0.2354,-0.3198,1.1399
271,0.2837,-0.5415,1.1301
272,0.3877,-0.1018,1.0735
273,0.4075,0.4536,0.9761
274,0.1145,0.4390,0.8296
275,-0.1755,0.1404,0.8987
276,-0.3613,-0.1943,0.9683
277,-0.4458,-0.3455,0.9312
278,-0.3005,-0.3315,0.8918
279,-0.0701,-0.2751,1.0012
280,0.1094,-0.0637,1.0588
281,0.1887,-0.0222,0.9575
282,0.1936,0.0352,1.0051
283,-0.0300,0.0186,1.0950
284,-0.2009,0.0059,0.9973
285,-0.0901,0.4197,0.9661
286,0.0842,0.6721,0.9553
287,0.2905,0.4153,0.9133
288,0.2363,-0.1277,0.9712
289,0.2214,-0.2251,1.1340
290,0.2346,-0.3113,0.9409
291,0.0247,-0.3621,0.8843
292,-0.1211,0.1143,1.1890
293,-0.2017,0.2495,0.8872
294,-0.4458,0.4614,0.7603
295,-0.4216,0.6741,1.0139
296,-0.2644,-0.0139,0.7864
297,-0.0264,-0.3420,0.9766
298,0.2847,-0.2600,1.1936
299,0.5073,-0.2502,0.9680
300,0.5981,0.1707,1.0383
301,0.2834,0.1672,1.0581
302,-0.1348,-0.0942,1.0015
303,-0.1321,-0.4001,1.0337
304,-0.0588,-0.6326,1.0317
305,0.1526,-0.1238,1.0659
306,0.2524,0.2771,0.7815
307,0.1228,0.6418,0.7478
308,-0.1887,0.2844,0.8450
309,-0.4470,-0.4424,0.9192
310,-0.4673,-0.6941,1.0513
311,-0.3613,-0.3123,1.1323
312,-0.1514,0.0808,0.9729
313,0.1677,-0.0156,0.9448
314,0.2161,-0.0632,1.1069
315,0.1279,-0.1396,1.0549
316,0.1311,0.0964,0.9624
317,0.0413,0.2222,0.8872
318,-0.0803,0.3137,0.9729
319,-0.1316,0.3206,0.8997
320,-0.0881,0.2351,0.8518
321,0.0562,-0.1536,0.9575
322,0.1030,-0.6362,1.0901
323,0.0881,-0.7803,1.1370
324,0.0388,-0.1169,1.0833
325,-0.0920,0.6018,0.9612
326,-0.1191,0.9028,0.7769
327,-0.2625,0.4846,0.8577
328,-0.3484,-0.0972,1.0110
329,-0.2551,-0.4724,0.9858
330,-0.1526,-0.1643,1.0696
331,0.0281,-0.0110,0.9419
332,0.0229,-0.0652,0.9907
333,-0.0876,-0.2974,1.1106
334,-0.2920,-0.6663,1.0024
335,-0.5591,-0.4900,1.0659
336,-0.4917,-0.0378,0.9360
337,-0.1509,0.1304,0.7759
338,0.2334,0.6379,0.9250
339,0.4849,0.0830,0.7942
340,0.5142,-0.0667,0.9495
341,0.1362,-0.3955,1.0715
342,-0.0449,-0.6638,0.9653
343,-0.0916,-0.6279,1.1321
344,0.1423,-0.1409,1.1624
345,0.3010,0.4634,0.9849
346,0.2126,0.8616,0.9075
347,0.1318,0.5884,0.8853
348,-0.1865,-0.0627,0.9702
349,-0.3638,-0.2844,1.0425
350,-0.2520,-0.4321,0.9006
