Sample,X,Y,Z
0,-0.0144,0.0381,0.9507
1,-0.0029,0.0513,0.9663
2,-0.0002,0.0122,1.0000
3,0.0203,-0.0261,0.9946
4,0.0164,-0.0923,0.9788
5,-0.0090,-0.0701,1.0171
6,-0.0195,-0.0305,0.9897
7,-0.0491,-0.0337,0.9507
8,-0.0095,0.1006,1.0015
9,0.0029,0.0076,0.9292
10,0.0103,0.0354,0.9875
11,0.0247,0.0188,1.0090
12,0.0222,-0.0181,0.9497
13,0.0537,0.0952,1.0034
14,0.0393,0.0015,0.9673
15,-0.0305,-0.0869,0.9915
16,-0.1006,-0.0901,1.0215
17,-0.0781,-0.0637,0.9702
18,-0.0330,0.0793,0.9709
19,0.0549,0.1013,0.9683
20,0.0930,0.0105,0.9673
21,0.0522,-0.0205,1.0100
22,-0.0029,-0.0750,0.9712
23,-0.0681,-0.0156,0.9749
24,-0.0427,0.0715,0.9871
25,-0.0249,0.0088,0.9524
26,0.0146,0.0386,0.9917
27,0.0244,-0.0203,0.9719
28,0.0186,-0.0283,0.9915
29,0.0132,-0.0413,0.9966
30,0.0110,-0.0320,1.0122
31,0.0334,0.0530,0.9963
32,-0.0171,-0.0168,0.9390
33,-0.0439,0.0432,0.9846
34,-0.0295,0.0105,0.9534
35,-0.0427,-0.0522,0.9534
36,0.0134,0.0388,1.0073
37,0.0530,-0.0090,0.9702
38,0.0388,0.0247,0.9739
39,0.0200,0.0327,1.0190
40,-0.0537,-0.0217,0.9905
41,-0.0647,-0.0378,0.9807
42,-0.0327,-0.0110,1.0259
43,-0.0078,-0.0535,0.9653
44,0.0642,-0.0225,0.9673
45,0.0864,0.0852,0.9709
46,0.0693,0.0549,0.9280
47,0.0159,0.0388,0.9614
48,-0.0535,-0.0522,1.0120
49,-0.1299,-0.0696,1.0022
50,-0.1179,-0.0159,0.9719
51,-0.0229,0.0894,1.0002
52,0.0593,0.0127,0.9619
53,0.1140,-0.0098,0.9956
54,0.1401,-0.0308,1.0051
55,0.0520,-0.0928,0.9360
56,-0.0137,0.0320,0.9983
57,-0.1125,0.0671,0.9614
58,-0.1482,0.0559,0.9749
59,-0.0815,0.0535,0.9839
60,-0.0310,-0.0339,0.9934
61,0.0916,-0.0432,0.9661
62,0.1208,-0.0974,0.9739
63,0.0630,0.0217,1.0374
64,0.0322,0.0015,0.9419
65,-0.0312,0.0706,0.9907
66,-0.0737,0.0474,0.9897
67,-0.0525,-0.0652,0.9497
68,-0.0269,0.0164,0.9993
69,0.0474,-0.0159,0.9709
70,0.0349,0.0132,0.9624
71,0.0256,0.0415,1.0090
72,-0.0066,-0.0027,0.9695
73,-0.0503,-0.0496,0.9824
74,-0.0498,0.0063,1.0081
75,-0.0347,-0.0254,0.9631
76,0.0239,0.0227,0.9680
77,0.0630,0.0828,1.0032
78,0.0925,0.0063,0.9631
79,0.0291,-0.0386,0.9673
80,-0.0349,-0.0596,1.0042
81,-0.0688,-0.0293,0.9702
82,-0.0952,0.0076,0.9692
83,-0.0222,0.1055,1.0061
84,0.0115,-0.0024,0.9585
85,0.0337,-0.0049,0.9963
86,0.0413,-0.0464,0.9983
87,0.0410,-0.0510,0.9670
88,0.0347,0.0303,0.9739
89,0.0269,0.0896,0.9729
90,0.0005,0.0354,0.9700
91,-0.0693,0.0032,0.9905
92,-0.0593,-0.0366,0.9973
93,-0.0608,-0.0847,0.9585
94,0.0027,-0.0298,1.0073
95,0.0410,0.0349,0.9954
96,0.0586,0.0447,0.9446
97,0.0769,0.1018,0.9934
98,0.0398,0.0061,0.9910
99,-0.0281,-0.0959,0.9651
100,-0.0461,-0.0325,1.0227
101,-0.0618,-0.0068,0.9387
102,0.1221,0.0598,0.9651
103,0.6143,0.1445,1.0618
104,1.1060,-0.0408,0.9700
105,1.7349,0.1516,1.0940
106,1.9978,0.0269,0.9446
107,1.9751,0.0149,0.9465
108,1.5598,0.0291,0.9995
109,0.5669,-0.2642,0.9084
110,-0.3936,-0.1794,0.9517
111,-1.0154,-0.1958,0.9084
112,-1.0591,0.0591,0.9673
113,-0.4539,0.1501,0.9514
114,0.5410,0.2102,1.0793
115,1.4673,0.2083,1.1165
116,1.9910,0.0991,1.0266
117,1.9978,0.2004,1.0735
118,1.9390,0.1594,0.9934
119,1.6245,0.0151,0.8782
120,1.2981,0.1362,0.9790
121,1.1392,0.0417,0.8137
122,0.9973,0.0042,0.8364
123,0.9233,0.1619,0.9875
124,0.7417,0.0981,0.9817
125,0.4080,0.1160,1.0386
126,0.2905,0.1555,1.1985
127,0.3149,0.0430,1.1331
128,0.4370,-0.0718,1.0959
129,0.7124,-0.0972,1.0701
130,0.8833,-0.1572,0.9465
131,0.9934,-0.1426,0.8101
132,1.0383,-0.0283,0.7202
133,0.8567,0.1658,0.7593
134,0.6956,0.1802,0.8394
135,0.6985,0.2324,1.0220
136,0.6743,0.2141,1.1721
137,0.8928,0.1782,1.2280
138,0.9858,-0.0549,1.2249
139,0.9653,-0.0869,1.3381
140,0.9739,-0.2815,1.0972
141,0.8245,-0.2634,0.8599
142,0.5093,0.0210,0.7825
143,0.4155,0.0786,0.5627
144,0.4468,0.2249,0.6780
145,0.4985,0.2847,0.8489
146,0.7756,0.2822,0.9292
147,0.9028,0.1355,1.0442
148,1.0864,0.0471,1.2717
149,1.2610,0.0774,1.3462
