Sample,X,Y,Z
0,-0.0093,-0.0308,0.9192
1,0.0002,-0.0164,1.0090
2,0.0110,-0.0417,1.0305
3,0.0273,-0.0430,0.9758
4,0.0122,-0.0176,0.9692
5,0.0100,0.0081,1.0452
6,-0.0005,-0.0605,1.0278
7,0.0654,-0.0642,0.9319
8,0.0288,-0.0386,0.9924
9,0.0476,-0.0132,0.9504
10,0.0059,-0.0415,0.9827
11,-0.0037,-0.0315,0.9595
12,-0.0447,-0.0227,1.0093
13,0.0088,-0.0437,1.0100
14,0.0322,-0.0444,1.0012
15,0.0662,-0.0176,0.9768
16,0.0459,-0.0059,0.9839
17,-0.0122,-0.0261,1.0073
18,-0.0183,-0.0374,1.0034
19,0.0171,-0.0525,0.9878
20,0.0264,-0.0354,0.9468
21,0.0493,-0.0444,0.9966
22,0.0244,-0.0300,0.9446
23,0.0024,-0.0308,1.0208
24,0.0154,-0.0317,1.0073
25,-0.0022,-0.0479,0.9937
26,0.0068,-0.0071,0.9634
27,0.0234,-0.0027,0.9985
28,0.0461,-0.0452,0.9788
29,0.0032,-0.0435,0.9868
30,-0.0090,-0.0469,1.0266
31,0.0122,-0.0339,0.9534
32,0.0186,-0.0405,0.9895
33,0.0396,-0.0300,0.9485
34,0.0388,-0.0220,1.0103
35,0.0208,-0.0261,0.9700
36,0.0037,-0.0298,1.0247
37,0.0186,-0.0420,0.9895
38,0.0083,-0.0037,0.9673
39,0.0103,-0.0215,1.0198
40,0.0220,-0.0547,0.9800
41,-0.0046,-0.0530,0.9839
42,0.0198,-0.0283,0.9604
43,0.0435,-0.0308,1.0217
44,0.0383,-0.0569,0.9622
45,0.0295,-0.0393,0.9556
46,-0.0146,-0.0210,1.0256
47,-0.0034,-0.0212,1.0034
48,-0.0142,-0.0312,0.9849
49,0.0273,-0.0151,0.9729
50,0.0432,-0.0247,0.9954
51,0.0669,-0.0437,0.9849
52,0.0173,-0.0410,0.9631
53,-0.0178,-0.0232,1.0034
54,-0.0205,-0.0278,1.0110
55,0.0164,-0.0608,0.9856
56,0.0278,-0.0361,0.9478
57,0.0481,-0.0083,0.9966
58,0.0527,-0.0071,0.9771
59,0.0146,-0.0247,1.0015
60,-0.0149,-0.0420,0.9905
61,-0.0181,-0.0288,1.0171
62,-0.0103,-0.0649,0.9963
63,0.0349,-0.0435,0.9504
64,0.0322,-0.0293,1.0171
65,0.0317,-0.0286,0.9729
66,0.0540,-0.0283,0.9836
67,0.0168,-0.0276,0.9485
68,0.0093,-0.0076,1.0208
69,0.0002,-0.0383,0.9888
70,-0.0098,-0.0232,0.9546
71,-0.0371,-0.0183,1.0435
72,0.0227,-0.0439,1.0032
73,0.0234,-0.0579,0.9731
74,0.0320,-0.0208,0.9468
75,0.0237,-0.0151,1.0286
76,0.0349,-0.0427,0.9797
77,-0.0022,-0.0266,0.9709
78,-0.0005,-0.0154,0.9973
79,-0.0024,-0.0256,1.0220
80,0.0332,-0.0527,0.9507
81,0.0054,-0.0527,0.9788
82,0.0205,-0.0291,0.9895
83,0.0164,-0.0347,1.0249
84,0.0142,-0.0405,0.9448
85,-0.0081,-0.0125,1.0142
86,0.0398,0.0012,0.9858
87,0.0051,-0.0356,1.0093
88,0.0117,-0.0417,0.9612
89,-0.0229,-0.0164,1.0061
90,0.0217,-0.0266,1.0149
91,0.0203,-0.0559,0.9534
92,0.0562,-0.0425,0.9768
93,0.0188,-0.0286,0.9888
94,0.0007,-0.0225,1.0005
95,-0.0156,-0.0332,0.9966
96,-0.0042,-0.0261,0.9875
97,0.0317,-0.0115,1.0190
98,0.0347,-0.0293,0.9614
99,0.0225,-0.0212,0.9846
100,0.0032,-0.0403,0.9778
101,0.0146,-0.0500,1.0271
102,0.0791,-0.0354,0.9673
103,0.2114,0.1790,0.9214
104,0.1208,0.4670,0.8618
105,0.1331,0.7942,0.7759
106,0.0825,1.0083,0.9944
107,0.0657,1.1812,1.0549
108,0.1567,1.2698,1.1528
109,0.3923,1.3091,1.3411
110,-0.0007,0.9436,0.7290
111,0.0149,1.3647,0.9417
112,-0.2268,1.3723,1.3403
113,-0.1978,1.1577,1.2424
114,-0.0149,1.0337,1.1663
115,-0.0625,0.7944,1.0754
116,-0.2961,0.5920,0.9116
117,-0.2690,0.4727,0.9529
118,-0.1743,0.3569,1.0540
119,-0.0852,0.3401,0.8901
120,0.0303,0.3850,0.6616
121,0.3550,0.4885,0.7085
122,0.3445,0.6948,0.9055
123,0.0796,0.8303,0.9067
124,-0.2080,1.0747,1.1653
125,-0.2861,1.2053,1.3071
126,-0.1172,1.2659,1.2222
127,0.1799,1.2759,1.0256
128,0.2263,1.2866,0.8831
129,0.0571,1.3010,0.9565
130,-0.1887,1.2219,1.0103
131,-0.2661,1.0649,1.1370
132,-0.0906,0.9683,1.1340
133,0.0298,0.7927,1.0571
134,0.1118,0.6506,0.9497
135,0.0652,0.5510,0.9272
136,0.0588,0.5803,1.0337
137,0.0261,0.5581,0.9465
138,0.0867,0.4695,1.0581
139,0.1201,0.3923,0.9761
140,0.0547,0.2124,0.8655
141,0.0249,0.1472,0.9133
142,-0.1362,0.2314,0.7991
143,-0.2344,0.4800,0.8987
144,-0.2170,0.7825,1.1294
145,0.0181,0.9670,1.0728
146,0.2053,1.0591,1.0139
147,0.2366,1.1135,0.9458
148,0.1589,1.1206,1.0374
149,0.0627,0.9458,0.9680
150,-0.1868,0.9661,1.1245
151,-0.1570,0.8960,1.3059
152,-0.0347,0.6096,1.1226
153,-0.0884,0.4331,1.0266
154,-0.0581,0.0654,1.0220
155,-0.3843,-0.3855,1.1418
156,-0.2671,-0.3586,1.2561
157,0.0129,-0.5171,0.9058
158,0.7310,-1.1128,1.0933
159,0.5012,-1.4331,0.6238
160,0.3628,-1.7544,0.7632
161,-0.1550,-1.9087,0.5466
162,-0.4429,-1.5437,0.7649
163,-0.0640,-0.9763,1.1311
164,0.2556,-0.4688,0.7180
165,0.2834,0.1685,0.4622
166,0.1907,0.7104,0.6399
167,-0.0955,0.9983,1.1167
168,-0.3599,1.3462,1.2356
169,-0.4060,1.5305,1.3589
170,-0.2344,1.5806,1.3752
171,-0.1697,1.4829,1.1165
172,0.1907,1.5142,0.8977
173,0.3452,1.4299,1.1890
174,0.3418,0.9700,1.5493
175,-0.0991,0.5288,1.2122
176,-0.4353,-0.0430,1.1265
177,-0.3325,-0.3289,0.9407
178,0.0120,-0.4819,0.9126
179,0.4624,-0.5635,0.7739
180,0.3882,-0.7505,0.8003
181,0.0386,-0.8452,0.6694
182,-0.2612,-0.8772,0.8430
183,-0.2000,-0.9106,1.0884
184,0.0264,-0.6519,0.9917
185,0.3525,-0.1797,0.7485
186,0.4048,0.0193,0.8579
187,0.1125,-0.0200,0.8850
188,-0.2693,-0.0769,1.2358
189,-0.3489,-0.0557,1.1870
190,-0.1477,0.0703,1.0442
191,0.3232,0.0916,1.0706
192,0.4312,-0.1013,0.6492
193,0.2068,-0.3240,1.1057
194,-0.4604,-0.3025,1.0491
195,-0.5823,-0.2607,1.3403
196,-0.1387,-0.2471,1.0435
197,0.1924,-0.1638,0.7427
198,0.3279,-0.1138,0.8987
199,0.1687,-0.1980,0.8987
200,-0.1157,-0.0491,0.9260
201,-0.1724,0.1182,0.9895
202,-0.0920,0.3745,0.9368
203,0.2498,0.6621,1.1721
204,0.4546,0.6594,0.6987
205,0.2510,0.3745,1.2825
206,-0.1340,0.0828,1.0425
207,-0.5354,-0.0396,0.9624
208,-0.3450,-0.0659,1.2817
209,0.0186,-0.0210,1.0757
210,0.1550,-0.1045,0.9790
211,0.0312,-0.1487,0.8118
212,-0.1975,0.0002,0.7681
213,-0.1692,-0.0686,0.9211
214,0.0027,-0.1292,0.9302
215,0.0764,0.0105,1.0208
216,0.2478,0.2485,0.8762
217,0.2346,0.3491,1.0833
218,0.2915,0.0828,1.1167
219,0.2644,-0.1404,1.1204
220,0.1782,-0.2278,1.1196
221,0.0801,-0.4304,1.0403
222,-0.2178,-0.4607,0.7205
223,-0.4543,-0.4556,1.1040
224,-0.4436,-0.3276,0.9868
225,-0.1301,-0.0239,0.9028
226,0.3340,0.3245,0.8120
227,0.3833,0.3713,0.8218
228,0.1741,0.2852,0.9211
229,-0.1294,0.1677,1.0803
230,-0.0562,0.2476,1.1594
231,0.2754,0.0896,1.2681
232,0.3315,-0.0232,0.9292
233,0.0991,0.0481,1.1301
234,-0.1606,-0.0237,0.9895
235,-0.2327,-0.2666,1.1460
236,-0.2341,-0.3379,0.9731
237,-0.1499,-0.2942,0.8616
238,-0.1646,-0.1345,0.6685
239,0.0852,0.0898,0.9231
240,0.4045,0.3518,0.7739
241,0.4849,0.4211,0.8667
242,0.1572,0.4553,1.0200
243,-0.0488,0.2261,1.1467
244,-0.2922,-0.0554,1.2524
245,-0.0837,0.0020,1.1047
246,0.1360,-0.0647,1.2610
247,0.2522,-0.2439,1.0422
248,-0.1140,-0.2754,0.8228
249,-0.3506,-0.3284,0.9407
250,-0.2227,-0.2446,0.9963
251,0.0706,-0.3669,0.8860
252,0.2839,-0.2527,0.5061
253,0.2034,0.0686,0.7515
254,0.0308,0.1475,1.0852
255,-0.0371,0.2161,1.0581
256,0.0862,0.3394,1.1897
257,0.2595,0.3125,1.2961
258,0.1567,0.1953,0.9194
259,-0.0222,0.0093,1.0803
260,-0.1377,-0.0913,1.0881
261,-0.2126,-0.2446,1.1880
262,-0.1934,-0.2771,0.9124
263,-0.0774,-0.0437,0.7700
264,0.1450,0.1936,0.8501
265,0.2312,0.1711,0.6138
266,0.2969,0.1091,1.0510
267,0.0586,0.0188,1.0354
268,-0.3450,-0.0488,1.0913
269,-0.3062,0.0203,1.1760
270,-0.0850,-0.0283,1.3452
271,0.2974,-0.0476,0.9194
272,0.3286,-0.1790,0.9233
273,0.1228,-0.2361,0.9270
274,-0.1812,-0.4963,0.9280
275,-0.4019,-0.5505,0.7073
276,-0.2380,-0.3904,1.1292
277,0.1609,-0.1052,0.8967
278,0.4668,0.0701,0.7114
279,0.2146,0.2080,0.6907
280,0.0005,0.2214,1.1694
281,-0.2207,0.1978,1.2151
282,-0.1663,0.1709,1.3137
283,0.2334,0.1589,1.0181
284,0.1814,0.0381,0.8716
285,0.0449,-0.1021,1.0549
286,-0.1523,-0.2734,1.0442
287,-0.3081,-0.2344,1.1799
288,-0.0984,-0.1665,0.9116
289,0.0347,-0.1575,0.8918
290,0.4014,-0.0520,0.7837
291,0.1921,-0.2146,0.6311
292,-0.1118,-0.2859,1.0784
293,-0.4023,-0.0327,1.0129
294,-0.4224,0.3674,1.2290
295,0.1279,0.5095,1.0464
296,0.5593,0.3320,0.9299
297,0.4929,0.1924,0.9661
298,-0.1426,-0.1228,1.0842
299,-0.6360,-0.2036,0.9487
300,-0.3999,-0.0684,1.2825
301,0.2168,-0.0405,1.0552
302,0.6316,-0.0549,1.0891
303,0.4146,-0.0737,0.4858
304,-0.1401,-0.1189,0.8938
305,-0.4595,-0.2390,1.1399
306,-0.3442,-0.2444,1.0168
307,0.0735,0.0022,0.9856
308,0.3113,0.0332,1.1194
309,0.2537,-0.0447,0.7014
310,0.0332,0.0627,0.9458
311,0.0088,-0.0801,1.0354
312,0.0259,-0.2397,1.1675
313,0.0420,-0.2993,1.0610
314,-0.1042,-0.2056,0.8687
315,-0.1450,-0.0256,0.9192
316,-0.0439,0.0505,0.9604
317,0.0608,0.0742,0.9924
318,0.0901,0.1526,1.1060
319,0.1470,0.1162,0.9182
320,-0.0674,0.1365,0.8950
321,-0.0161,-0.0327,0.9905
322,0.0659,-0.1663,1.1604
323,0.0076,-0.3184,0.8997
324,-0.1536,-0.2329,1.0356
325,0.0073,-0.1531,1.1294
326,-0.0605,-0.1882,0.8655
327,-0.0530,0.0950,1.0784
328,0.2251,0.2629,1.1519
329,0.3755,0.1208,0.6147
330,0.2769,0.0903,0.7776
331,-0.1326,-0.0110,0.9739
332,-0.2644,-0.1426,1.3276
333,-0.1038,-0.2678,0.9202
334,0.1448,-0.3318,1.0198
335,0.0674,-0.1418,0.8091
336,-0.0022,-0.1733,1.0923
337,-0.2253,-0.1304,1.0630
338,-0.2383,-0.0713,1.2092
339,0.0056,0.1211,0.9719
340,0.1714,0.1428,0.9619
341,0.1729,0.1707,0.6118
342,0.0815,0.1704,0.8567
343,0.0020,0.1582,1.0842
344,0.0276,0.0391,1.2544
345,0.0762,0.1055,0.7561
346,0.1665,0.0112,1.1450
347,0.0386,-0.1797,0.9868
