Sample,X,Y,Z
0,0.0684,0.0977,0.9849
1,0.1091,0.0164,0.9363
2,0.0913,0.0603,1.0042
3,0.0359,-0.0405,0.9895
4,-0.0627,-0.0618,0.9849
5,-0.0854,0.0000,1.0054
6,-0.0718,-0.0134,0.9580
7,-0.0420,0.0020,0.9934
8,0.0061,-0.0129,0.9846
9,0.0840,-0.0378,0.9614
10,0.0444,0.0532,0.9917
11,0.0508,0.0835,0.9709
12,0.0105,-0.0081,0.9399
13,-0.0540,0.0054,1.0256
14,-0.0632,-0.0537,0.9651
15,-0.0891,-0.0374,0.9819
16,-0.0146,0.0146,0.9934
17,0.0334,-0.0212,0.9663
18,0.0581,0.0496,0.9973
19,0.0549,-0.0181,0.9604
20,0.0183,-0.0017,0.9983
21,-0.0239,-0.0154,0.9946
22,-0.0293,-0.0476,0.9602
23,-0.0376,0.0273,1.0002
24,-0.0066,0.0405,0.9722
25,0.0000,-0.0032,0.9480
26,0.0315,0.0435,1.0044
27,0.0105,-0.0088,0.9565
28,0.0049,0.0249,0.9722
29,-0.0295,0.0044,0.9954
30,-0.0515,0.0161,1.0002
31,-0.0386,-0.0569,0.9810
32,0.0295,-0.0088,1.0032
33,0.0576,-0.0234,0.9788
34,0.0662,0.0371,0.9800
35,0.0383,0.0017,0.9602
36,-0.0417,-0.0359,0.9829
37,-0.0635,-0.0105,0.9924
38,-0.0559,0.0098,0.9495
39,-0.0566,0.0388,0.9810
40,0.0149,0.0422,0.9800
41,0.0254,-0.0437,0.9778
42,0.0474,-0.0054,1.0042
43,0.0449,-0.0317,0.9849
44,0.0146,-0.0012,0.9836
45,-0.0125,-0.0095,0.9800
46,-0.0295,0.0044,0.9705
47,-0.0408,0.0259,0.9790
48,-0.0103,0.0178,0.9690
49,-0.0061,0.0034,0.9788
50,0.0132,-0.0005,0.9907
51,0.0110,-0.0085,0.9727
52,0.0215,0.0303,0.9849
53,0.0159,0.0117,0.9829
54,-0.0037,-0.0425,0.9907
55,-0.0098,-0.0747,0.9985
56,-0.0088,-0.0457,0.9944
57,-0.0156,0.0566,0.9565
58,-0.0017,0.0757,0.9360
59,0.0034,0.0591,0.9749
60,-0.0049,0.0068,0.9819
61,-0.0024,-0.0337,0.9719
62,0.0103,0.0352,1.0093
63,0.0164,0.0095,0.9819
64,0.0303,-0.0044,0.9937
65,0.0063,-0.0557,1.0044
66,0.0083,-0.1130,0.9836
67,-0.0112,-0.0479,0.9917
68,-0.0349,0.0320,0.9719
69,-0.0386,0.0425,0.9438
70,-0.0381,0.0779,0.9546
71,-0.0337,0.0605,0.9563
72,0.0042,0.0300,0.9722
73,0.0532,0.0237,1.0039
74,0.0288,-0.0103,1.0090
75,0.0894,-0.0222,0.9934
76,0.0327,-0.1140,0.9927
77,-0.0413,-0.0464,1.0413
78,-0.0347,-0.0447,0.9546
79,-0.0698,0.0085,0.9575
80,-0.0386,0.1011,0.9956
81,0.0095,-0.0024,0.9260
82,0.0508,0.0452,0.9690
83,0.0510,0.0435,0.9712
84,0.0564,0.0491,0.9583
85,-0.0117,0.0156,0.9875
86,-0.0544,-0.0098,1.0266
87,-0.0588,-0.1038,1.0005
88,-0.0310,-0.0430,1.0032
89,0.0020,-0.0156,0.9858
90,-0.0020,0.0090,0.9856
91,0.0525,0.0322,0.9712
92,0.0464,0.0078,0.9612
93,0.0581,0.0850,0.9819
94,0.0300,-0.0352,0.9348
95,0.0205,-0.0022,1.0005
96,-0.0679,-0.0786,0.9829
97,-0.0862,-0.0154,0.9995
98,-0.0669,0.0007,0.9663
99,-0.0454,0.0459,0.9810
100,0.0496,0.0347,0.9692
101,0.0776,0.0149,0.9690
102,0.0200,0.0632,1.0825
103,-0.1296,-0.0605,1.0940
104,-0.0886,-0.0198,0.9768
105,-0.0635,0.5305,0.9026
106,0.1497,1.5669,0.7368
107,0.2883,1.9792,0.6021
108,0.1909,1.9998,0.9543
109,-0.0422,1.9998,1.1575
110,-0.0627,1.9749,1.0017
111,-0.1086,1.9958,1.1069
112,0.1162,1.9998,0.9065
113,0.4590,1.9998,0.0249
114,0.2148,1.9998,0.4917
115,-0.2715,1.9998,1.0054
116,-0.5505,1.9998,1.2385
117,-0.8396,1.9998,1.2991
118,-0.5361,1.9998,1.3059
119,0.1504,1.9998,1.2603
120,0.3850,1.9998,1.3872
121,0.2756,1.9998,0.5698
122,0.1230,1.9998,0.6233
123,-0.9568,1.9998,0.5452
124,-1.3315,1.9998,0.3289
125,-1.2937,1.9202,1.1399
126,-0.7478,1.4622,1.2122
127,-0.0862,0.8245,0.7942
128,0.3367,1.0981,1.2427
129,0.4917,0.4270,1.5647
130,0.1152,-0.8699,1.4644
131,-0.1282,-1.0593,1.4087
132,0.0959,-1.8047,0.5759
133,0.1179,-1.6948,0.6458
134,0.0527,-1.9983,0.6750
135,-0.1121,-1.9983,0.9583
136,-0.6677,-1.9983,0.9670
137,-0.7029,-1.9983,0.5286
138,-0.3992,-1.9983,0.7385
139,0.4270,-1.8035,0.9087
140,1.3147,-0.4939,1.3237
141,1.3823,-0.6274,0.4651
142,1.3032,1.5791,1.3147
143,0.1506,0.9468,0.4429
144,-0.7495,0.7085,0.6812
145,-1.5454,1.1899,1.2192
146,-1.5505,1.4089,0.7266
147,-0.5828,1.9805,1.1370
148,0.4985,1.8684,1.1506
149,1.0288,1.9387,1.4612
150,1.4575,1.2600,1.0911
151,1.2024,1.0269,1.2192
152,0.5542,1.6985,1.2834
153,-0.4751,1.8513,0.7017
154,-0.8062,1.9998,0.3687
155,-0.7993,1.9700,0.6040
156,-0.8628,0.3650,0.8315
157,-0.1602,-1.0728,1.3293
158,0.1997,-1.1528,1.3889
159,0.3862,-0.7993,0.8538
160,0.5823,0.1831,1.1431
161,0.2065,0.7288,1.3069
162,0.2327,-0.2932,0.6401
163,0.0195,-0.0715,0.9233
164,-0.3118,-0.3728,1.0542
165,-0.0073,0.2129,0.7007
166,-0.3489,-0.3047,0.4934
167,-0.1523,-0.7915,1.3381
168,-0.4802,-1.0544,1.4683
169,-0.4053,-0.6274,1.0549
170,0.0247,0.1487,0.8062
171,0.0664,0.0237,0.9221
172,0.1345,0.3091,1.0942
173,0.1243,0.4182,0.7708
174,-0.0178,0.6282,0.9026
175,-0.3438,0.0879,0.8840
176,-0.2588,-1.0161,0.8596
177,-0.1550,-1.9983,0.8909
178,-0.0132,-1.8423,1.4114
179,0.5110,-0.3691,1.1577
180,0.6711,0.8579,0.6895
181,0.4028,1.0012,0.9563
182,0.0569,0.1365,1.2954
183,-0.1838,-0.0068,1.2727
184,-0.2234,-0.2300,0.8459
185,-0.0637,-0.5735,0.7935
186,0.2361,-0.7136,1.1665
187,0.3342,0.3647,1.1108
188,0.1257,1.4507,0.6372
189,-0.0500,1.6030,0.5161
190,-0.2671,0.3933,1.0396
191,-0.2034,-0.9966,1.1350
192,-0.0544,-1.1248,1.0571
193,0.1448,-0.4111,1.0503
194,0.0547,0.2690,1.0845
195,-0.2107,0.5168,0.9319
196,-0.4812,0.4597,0.9661
197,-0.8767,-0.3193,1.0432
198,-0.6511,-0.8599,1.1428
199,-0.2754,-0.6772,1.0891
200,0.3638,-1.0093,0.8499
201,0.7026,-0.6040,0.9592
202,0.2144,0.9128,1.1877
203,0.1106,1.9998,0.7368
204,-0.0947,1.7180,0.3069
205,-0.1748,0.1155,1.0159
206,-0.0940,-1.8076,1.2876
207,0.4673,-1.4751,1.2288
208,0.5212,0.6851,1.0259
209,0.2964,1.4827,0.6331
210,-0.3418,1.5647,1.0901
211,-0.8892,0.1565,1.2397
212,-0.9490,-0.6831,1.2717
213,-0.6296,-0.6479,1.2004
214,0.2822,-0.5767,0.9465
215,0.9124,-0.3225,0.9233
216,1.1311,0.2783,0.8657
217,0.7915,0.8401,0.6379
218,0.1611,0.5640,0.4800
219,-0.2258,0.0808,1.0891
220,-0.2717,0.2715,1.3540
221,0.1235,-0.0500,0.8267
222,0.5706,-0.8572,0.8423
223,0.7317,-1.0945,1.5679
224,0.8430,0.1250,1.3823
225,0.2981,1.2310,0.5020
226,0.1228,1.9998,0.7727
227,0.1467,1.1079,0.8628
228,0.1926,-0.0764,1.0864
229,0.5930,0.1577,1.1519
230,0.8882,0.8713,0.8821
231,0.8293,1.0317,0.6353
232,0.3696,0.8635,0.9133
233,-0.3689,0.5627,1.1868
234,-1.0154,0.5901,1.0784
235,-1.6704,0.6997,1.0220
236,-1.4683,0.1921,1.1226
237,-0.7097,-1.4363,0.8264
238,-0.3381,-1.9980,1.1616
239,-0.0134,-1.2866,1.6311
240,-0.1367,0.3074,0.4287
241,-0.3901,1.4409,0.1436
242,-0.6411,0.1033,0.9609
243,-0.6921,-1.7590,1.1331
244,-0.2266,-1.9983,1.0784
245,0.6155,-1.0867,1.2300
246,0.8071,-0.3323,0.9241
247,0.4761,0.0852,1.0276
248,-0.2092,0.1548,1.1440
249,-0.8240,-0.0723,1.0920
250,-1.0916,0.4836,1.1526
251,-0.6089,0.0806,0.8022
252,0.3206,-0.3933,0.8013
253,0.9036,-0.3098,1.1333
254,1.2092,-0.3367,0.5845
255,0.5930,0.4873,0.6948
256,0.1350,1.8579,0.9702
257,-0.3911,1.0894,0.5122
258,-0.4849,0.3110,1.0708
259,-0.1533,-0.7476,1.5286
260,0.3271,-1.0767,1.3889
261,0.6174,-0.2812,1.1499
262,0.4897,0.2991,1.1936
263,0.0127,0.3989,1.1079
264,-0.6001,0.0232,0.9351
265,-0.8726,0.3291,1.0591
266,-0.6978,1.3013,0.9331
267,-0.0747,0.3892,0.0117
268,0.4602,-0.3191,0.6997
269,0.5911,-1.3542,1.0503
270,0.5930,-0.2207,1.0122
