Sample,X,Y,Z
0,-0.0676,-0.0576,0.8931
1,-0.0996,0.0071,0.9875
2,-0.0435,0.0437,0.9819
3,-0.0198,-0.0532,0.9333
4,0.0198,0.0122,1.0159
5,0.0308,-0.0154,0.9583
6,0.0161,-0.0271,0.9810
7,0.0256,-0.0088,0.9531
8,-0.0195,-0.0083,0.9612
9,-0.0488,-0.0039,0.9673
10,-0.0427,-0.0173,0.9563
11,-0.0217,0.0410,0.9985
12,0.0037,-0.0347,0.9319
13,0.0254,0.0261,0.9709
14,0.0417,0.0149,0.9893
15,-0.0337,-0.0649,0.9380
16,-0.0793,0.0181,0.9897
17,-0.0513,0.0298,0.9709
18,-0.0393,-0.0823,0.9543
19,0.0371,0.0393,1.0071
20,0.0635,-0.0127,0.9575
21,0.0391,-0.0132,0.9673
22,0.0273,-0.0110,0.9458
23,-0.0571,0.0486,0.9819
24,-0.0630,-0.0884,0.9282
25,-0.0664,0.0420,0.9983
26,-0.0605,0.0081,0.9690
27,-0.0142,-0.0344,0.9504
28,0.0220,0.0188,0.9963
29,0.0562,-0.0010,0.9543
30,0.0776,-0.0081,0.9719
31,0.0464,0.0000,0.9937
32,-0.0049,-0.0232,0.9553
33,-0.0876,-0.0330,0.9907
34,-0.1094,0.0308,0.9465
35,-0.0789,-0.0476,0.9683
36,0.0112,0.0398,0.9810
37,0.0220,-0.0762,0.9211
38,0.0764,0.0762,1.0061
39,0.0881,-0.0166,0.9309
40,0.0161,0.0010,1.0083
41,-0.0266,0.0015,0.9836
42,-0.1104,-0.0303,0.9595
43,-0.1196,0.0034,0.9897
44,-0.0554,-0.0359,0.9468
45,-0.0020,-0.0312,0.9897
46,0.0789,0.0146,0.9233
47,0.0818,0.0002,0.9761
48,0.0544,0.0500,0.9817
49,-0.0181,-0.0771,0.9299
50,-0.0400,0.1042,1.0188
51,-0.0444,-0.0549,0.9351
52,-0.0923,-0.0134,0.9878
53,-0.0513,-0.0344,0.9780
54,-0.0264,-0.0134,0.9878
55,0.0247,-0.0439,0.9495
56,0.0664,0.0151,0.9719
57,0.0884,0.0215,0.9592
58,0.0488,-0.0532,0.9250
59,-0.0269,0.0925,1.0015
60,-0.0708,0.0061,0.9556
61,-0.1194,-0.0408,0.9709
62,-0.0913,0.0308,0.9956
63,-0.0330,-0.0369,0.9644
64,0.0352,-0.0547,0.9817
65,0.0674,-0.0056,0.9778
66,0.0750,-0.0173,0.9712
67,0.0630,-0.0376,0.9368
68,0.0049,0.0503,0.9749
69,-0.0642,0.0308,0.9631
70,-0.1282,-0.0554,0.9556
71,-0.1240,0.0710,0.9827
72,-0.0286,-0.0234,0.9448
73,0.0413,0.0044,0.9907
74,0.1086,-0.0691,0.9673
75,0.1172,0.0095,0.9993
76,0.0308,-0.0342,0.9595
77,-0.0803,-0.0222,0.9749
78,-0.1062,0.0271,0.9807
79,-0.1040,-0.0139,0.9507
80,-0.0645,0.0171,0.9426
81,0.0325,0.0334,0.9648
82,0.0981,0.0225,0.9526
83,0.0876,-0.0474,0.9622
84,0.0410,0.0183,1.0081
85,-0.0408,-0.0598,0.9614
86,-0.1033,-0.0110,0.9827
87,-0.1150,-0.0303,0.9866
88,-0.0750,-0.0122,0.9534
89,0.0415,-0.0247,0.9543
90,0.1189,0.0940,0.9702
91,0.1042,-0.0364,0.9250
92,0.0310,0.0303,0.9915
93,-0.0735,0.0120,0.9546
94,-0.1497,-0.0073,0.9836
95,-0.1250,-0.0112,0.9663
96,-0.0474,-0.0571,0.9758
