Sample,X,Y,Z
0,0.0713,-0.0034,0.9644
1,0.0308,-0.0278,0.9534
2,0.0088,0.0095,0.9944
3,-0.0667,-0.0376,0.9807
4,-0.0923,-0.0286,0.9758
5,-0.0737,0.0259,0.9827
6,-0.0083,-0.0227,0.9558
7,0.0688,0.0159,0.9846
8,0.0962,-0.0193,0.9739
9,0.0837,0.0237,0.9866
10,0.0078,-0.0200,0.9807
11,-0.0769,-0.0308,0.9856
12,-0.1052,-0.0137,0.9944
13,-0.0774,0.0103,0.9612
14,-0.0327,-0.0146,0.9661
15,0.0239,0.0310,1.0073
16,0.0752,-0.0615,0.9702
17,0.0762,0.0298,0.9846
18,0.0300,0.0017,0.9622
19,0.0117,0.0154,0.9807
20,-0.0730,-0.0696,0.9846
21,-0.0642,-0.0059,1.0005
22,-0.0847,-0.0085,0.9751
23,-0.0229,0.0298,0.9731
24,0.0222,-0.0408,0.9604
25,0.0601,0.0090,1.0061
26,0.0823,-0.0535,0.9534
27,0.0239,0.0093,0.9663
28,-0.0256,0.0386,0.9915
29,-0.0593,0.0066,0.9761
30,-0.0637,0.0146,0.9878
31,-0.0442,0.0081,0.9946
32,0.0330,-0.0229,0.9761
33,0.0396,-0.0591,0.9790
34,0.0635,0.0042,0.9905
35,-0.0068,-0.0225,0.9612
36,-0.0354,-0.0181,0.9641
37,-0.0708,-0.0051,0.9856
38,-0.0471,0.0012,0.9888
39,-0.0090,-0.0142,0.9592
40,0.0344,0.0581,0.9849
41,0.0491,0.0073,0.9778
42,0.0549,-0.0417,0.9712
43,-0.0034,-0.0100,0.9944
44,-0.0259,-0.0071,0.9810
45,-0.0291,-0.0354,0.9709
46,-0.0698,0.0088,1.0044
47,-0.0522,-0.0369,0.9722
48,-0.0032,-0.0046,0.9690
49,0.0300,0.0532,0.9868
50,0.0732,-0.0195,0.9631
51,0.0854,-0.0076,0.9807
52,-0.0037,-0.0349,0.9856
53,-0.0325,0.0095,0.9739
54,-0.0959,0.0024,0.9524
55,-0.0615,0.0369,1.0042
56,-0.0039,-0.0889,0.9670
57,0.0403,-0.0452,0.9866
58,0.0574,0.0354,0.9946
59,0.0337,0.0134,0.9475
60,-0.0198,0.0259,0.9844
61,-0.0737,-0.0063,1.0103
62,-0.0549,-0.0667,0.9641
63,-0.0100,-0.0122,0.9722
64,0.0303,0.0637,0.9934
65,0.0581,0.0125,0.9553
66,0.0657,-0.0413,0.9634
67,0.0017,-0.0366,1.0149
68,-0.0322,-0.0256,0.9758
69,-0.0613,0.0132,0.9653
70,-0.0576,0.0627,0.9866
71,-0.0193,-0.0388,0.9690
72,0.0007,0.0056,1.0154
73,0.0291,-0.0383,0.9810
74,0.0581,-0.0125,0.9583
75,0.0063,0.0288,1.0044
76,0.0020,0.0198,0.9712
77,-0.0166,-0.0837,0.9380
78,-0.0378,0.0183,1.0239
79,-0.0222,-0.0806,0.9553
80,-0.0212,0.0315,0.9692
81,-0.0398,0.0708,0.9897
82,-0.0042,-0.0127,0.9514
83,0.0083,-0.0203,1.0051
84,0.0374,0.0000,1.0132
85,0.0554,-0.0159,0.9563
86,0.0464,0.0466,0.9797
87,0.0107,-0.0256,0.9858
88,-0.0605,-0.0466,0.9839
89,-0.0896,-0.0654,0.9817
90,-0.0603,0.0017,0.9866
91,-0.0273,-0.0203,0.9446
92,0.0334,0.0232,0.9878
93,0.0464,0.0181,0.9712
94,0.0537,0.0139,0.9622
95,0.0127,0.0288,0.9885
96,-0.0088,-0.0032,0.9839
97,-0.0215,-0.0142,0.9839
98,-0.0422,-0.0110,1.0125
99,-0.0254,-0.0605,0.9751
100,-0.0142,-0.0757,0.9712
101,-0.0229,0.0056,1.0120
102,-0.0027,-0.0042,0.9524
103,0.0259,0.0408,0.9524
104,0.0286,0.0674,0.9927
105,0.0247,-0.0083,0.9575
106,0.0215,-0.0195,0.9690
107,-0.0256,-0.0037,1.0024
108,-0.0361,-0.0493,0.9731
109,-0.0569,-0.0452,0.9849
110,-0.0500,-0.0017,1.0071
111,-0.0020,-0.0447,0.9563
112,0.0339,0.0330,0.9807
113,0.0427,0.0093,0.9944
114,0.0769,0.0208,0.9780
