Sample,Timestamp,Raw Encoder Reading,Target Motor Steps,Current Error,PID I Term,Phase Shift
0,0.04,16897,206.25,-0.01,0.7,0
1,1.08,16893,206.22,0.01,0.7,0
2,2.10,16880,206.15,0.10,0.7,0
3,3.12,16870,206.08,0.15,0.9,0
4,4.06,16868,206.01,0.10,1.0,0
5,5.09,16857,205.88,0.10,1.1,0
6,6.10,16839,205.68,0.12,1.2,0
7,7.05,16819,205.49,0.18,1.4,0
8,8.08,16807,205.29,0.12,1.5,0
9,9.10,16793,205.06,0.07,1.6,0
10,10.12,16771,204.81,0.09,1.7,0
11,11.04,16760,204.58,-0.01,1.7,0
12,12.06,16744,204.33,-0.07,1.6,0
13,13.07,16733,204.07,-0.18,1.5,0
14,14.10,16716,203.82,-0.23,1.3,0
15,15.05,16698,203.58,-0.26,1.0,0
16,16.07,16680,203.32,-0.29,0.7,0
17,17.09,16661,203.07,-0.32,0.4,0
18,18.10,16642,202.81,-0.33,0.1,0
19,19.12,16625,202.56,-0.38,-0.3,0
20,20.13,16605,202.31,-0.39,-0.7,0
21,21.07,16581,202.07,-0.33,-1.0,0
22,22.08,16564,201.82,-0.38,-1.4,0
23,23.11,16543,201.56,-0.38,-1.8,0
24,24.04,16520,201.33,-0.33,-2.1,0
25,25.07,16496,201.07,-0.29,-2.5,0
26,26.07,16471,200.82,-0.24,-2.8,0
27,27.09,16452,200.57,-0.27,-3.0,0
28,28.10,16430,200.31,-0.24,-3.3,0
29,29.04,16410,200.08,-0.24,-3.5,0
30,30.07,16386,199.82,-0.21,-3.7,0
31,31.11,16363,199.56,-0.18,-3.9,0
32,32.05,16340,199.33,-0.13,-4.0,0
33,33.05,16319,199.08,-0.13,-4.1,0
34,34.04,16296,198.83,-0.10,-4.2,0
35,35.06,16278,198.57,-0.13,-4.4,0
36,36.08,16261,198.32,-0.18,-4.5,0
37,37.09,16241,198.07,-0.18,-4.7,0
38,38.07,16222,197.82,-0.20,-4.9,0
39,39.08,16201,197.57,-0.20,-5.0,0
40,40.09,16182,197.32,-0.22,-5.3,0
41,41.11,16161,197.06,-0.22,-5.5,0
42,42.05,16146,196.83,-0.27,-5.7,0
43,43.06,16124,196.57,-0.26,-6.0,0
44,44.07,16099,196.32,-0.20,-6.2,0
45,45.10,16081,196.07,-0.23,-6.5,0
46,46.04,16055,195.83,-0.16,-6.7,0
47,47.07,16029,195.57,-0.10,-6.8,0
48,48.08,16007,195.32,-0.07,-6.9,0
49,49.09,15986,195.07,-0.07,-7.0,0
50,50.08,15967,194.82,-0.09,-7.1,0
51,51.08,15942,194.57,-0.04,-7.2,0
52,52.10,15929,194.31,-0.13,-7.2,0
53,53.11,15905,194.06,-0.09,-7.3,0
54,54.05,15890,193.83,-0.15,-7.4,0
55,55.06,15865,193.57,-0.09,-7.6,0
56,56.08,15848,193.32,-0.13,-7.7,0
57,57.10,15828,193.07,-0.15,-7.8,0
58,58.11,15811,192.81,-0.20,-8.0,0
59,59.12,15787,192.56,-0.16,-8.2,0
60,60.06,15769,192.32,-0.17,-8.4,0
61,61.07,15747,192.07,-0.15,-8.6,0
62,62.08,15723,191.82,-0.11,-8.7,0
63,63.10,15701,191.56,-0.10,-8.8,0
64,64.12,15673,191.31,-0.01,-8.9,0
65,65.05,15657,191.08,-0.05,-8.9,0
66,66.07,15637,190.82,-0.06,-9.0,0
67,67.07,15616,190.57,-0.05,-9.0,0
68,68.07,15594,190.32,-0.04,-9.0,0
69,69.09,15576,190.07,-0.07,-9.1,0
70,70.10,15554,189.81,-0.05,-9.1,0
71,71.12,15535,189.56,-0.07,-9.2,0
72,72.05,15520,189.33,-0.12,-9.3,0
73,73.06,15497,189.07,-0.10,-9.4,0
74,74.07,15478,188.82,-0.12,-9.5,0
75,75.07,15459,188.57,-0.13,-9.7,0
76,76.09,15440,188.32,-0.16,-9.8,0
77,77.11,15416,188.06,-0.12,-10.0,0
78,78.04,15393,187.83,-0.07,-10.1,0
79,79.06,15368,187.57,-0.02,-10.1,0
80,80.07,15344,187.32,0.01,-10.1,0
81,81.07,15324,187.07,0.01,-10.1,0
82,82.09,15304,186.82,0.00,-10.1,0
83,83.11,15287,186.56,-0.05,-10.1,0
84,84.04,15265,186.33,-0.01,-10.2,0
85,85.06,15245,186.07,-0.02,-10.2,0
86,86.07,15226,185.82,-0.04,-10.2,0
87,87.08,15209,185.57,-0.09,-10.2,0
88,88.10,15187,185.31,-0.07,-10.3,0
89,89.11,15170,185.06,-0.12,-10.4,0
90,90.11,15151,184.81,-0.13,-10.5,0
91,91.05,15131,184.58,-0.12,-10.6,0
92,92.07,15109,184.32,-0.11,-10.7,0
93,93.08,15086,184.07,-0.09,-10.9,0
