Sample,Timestamp,Measured Motor Steps,Target Motor Steps,Current Error,PID Control Signal,PID P Term,PID I Term,PID D Term,PID V Term,PID A Term
0,0.05,-36.39,-36.37,0.01,-2.4,0.4,-1.8,-1.0,-0.0,-0.0
1,1.08,-36.34,-36.37,-0.04,-6.7,-1.1,-1.8,-3.8,-0.0,-0.0
2,2.05,-36.36,-36.37,-0.01,-3.1,-0.4,-1.8,-0.9,-0.0,-0.0
3,3.09,-36.38,-36.37,0.00,-0.8,0.0,-1.8,1.0,-0.0,-0.0
4,4.05,-36.39,-36.37,0.01,0.5,0.4,-1.8,1.9,-0.0,-0.0
5,5.11,-36.36,-36.37,-0.01,-1.2,-0.4,-1.8,0.9,-0.0,-0.0
6,6.09,-36.39,-36.37,0.01,0.5,0.4,-1.8,1.9,-0.0,-0.0
7,7.05,-36.40,-36.37,0.02,0.9,0.7,-1.8,1.9,-0.0,-0.0
8,8.09,-36.36,-36.37,-0.01,-3.1,-0.4,-1.8,-1.0,-0.0,-0.0
9,9.07,-36.39,-36.37,0.01,0.5,0.4,-1.8,1.9,-0.0,-0.0
10,10.11,-36.39,-36.37,0.01,-0.4,0.4,-1.8,1.0,-0.0,-0.0
11,11.09,-36.38,-36.37,0.00,-1.8,0.0,-1.8,0.0,-0.0,-0.0
12,12.06,-36.40,-36.37,0.02,-0.1,0.7,-1.7,0.9,-0.0,-0.0
13,13.11,-36.39,-36.37,0.01,0.5,0.4,-1.7,1.9,-0.0,-0.0
14,14.09,-36.36,-36.37,-0.01,-3.1,-0.4,-1.8,-0.9,-0.0,-0.0
15,15.06,-36.35,-36.37,-0.02,-5.4,-0.7,-1.8,-2.9,-0.0,-0.0
16,16.10,-36.38,-36.37,0.00,-1.8,0.0,-1.8,0.0,-0.0,-0.0
17,17.06,-36.38,-36.37,0.00,-3.7,0.0,-1.8,-1.9,-0.0,-0.0
18,18.11,-36.39,-36.37,0.01,-1.4,0.4,-1.8,0.0,-0.0,-0.0
19,19.08,-36.36,-36.37,-0.01,-3.1,-0.4,-1.8,-0.9,-0.0,-0.0
20,20.05,-36.39,-36.37,0.01,0.5,0.4,-1.8,1.9,-0.0,-0.0
21,21.10,-36.39,-36.37,0.01,-0.5,0.4,-1.8,0.9,-0.0,-0.0
22,22.07,-36.38,-36.37,0.00,-3.7,0.0,-1.8,-1.9,-0.0,-0.0
23,23.06,-36.38,-36.37,0.00,-0.8,0.0,-1.8,0.9,-0.0,-0.0
24,24.09,-36.38,-36.37,0.00,-2.7,0.0,-1.8,-1.0,-0.0,-0.0
25,25.06,-36.36,-36.37,-0.01,-2.1,-0.4,-1.8,0.0,-0.0,-0.0
26,26.04,-36.36,-36.37,-0.01,-2.1,-0.4,-1.8,0.0,-0.0,-0.0
27,27.08,-36.35,-36.37,-0.02,-2.5,-0.7,-1.8,0.0,-0.0,-0.0
28,28.06,-36.38,-36.37,0.00,-2.7,0.0,-1.8,-0.9,-0.0,-0.0
29,29.11,-36.36,-36.37,-0.01,-4.0,-0.4,-1.8,-1.9,-0.0,-0.0
30,30.09,-36.38,-36.37,0.00,-0.8,0.0,-1.8,0.9,-0.0,-0.0
31,31.06,-36.40,-36.37,0.02,-1.0,0.7,-1.8,0.0,-0.0,-0.0
32,32.11,-36.36,-36.37,-0.01,-1.2,-0.4,-1.8,1.0,-0.0,-0.0
33,33.07,-36.38,-36.37,0.00,-1.8,0.0,-1.8,0.0,-0.0,-0.0
34,34.05,-36.39,-36.37,0.01,1.4,0.4,-1.8,2.8,-0.0,-0.0
35,35.11,-36.38,-36.37,0.00,-1.8,0.0,-1.8,0.0,-0.0,-0.0
36,36.08,-36.40,-36.37,0.02,2.8,0.7,-1.8,3.8,-0.0,-0.0
37,37.05,-36.35,-36.37,-0.02,-4.4,-0.7,-1.8,-1.9,-0.0,-0.0
38,38.09,-36.39,-36.37,0.01,-1.4,0.4,-1.8,0.0,-0.0,-0.0
39,39.05,-36.36,-36.37,-0.01,-3.1,-0.4,-1.8,-0.9,-0.0,-0.0
40,40.11,-36.38,-36.37,0.00,-0.8,0.0,-1.8,0.9,-0.0,-0.0
41,41.09,-36.35,-36.37,-0.02,-3.5,-0.7,-1.8,-0.9,-0.0,-0.0
42,42.05,-36.38,-36.37,0.00,-1.8,0.0,-1.8,0.0,-0.0,-0.0
43,43.10,-36.38,-36.37,0.00,0.1,0.0,-1.8,1.9,-0.0,-0.0
44,44.06,-36.40,-36.37,0.02,-1.1,0.7,-1.8,0.0,-0.0,-0.0
45,45.11,-36.36,-36.37,-0.01,-4.0,-0.4,-1.8,-1.9,-0.0,-0.0
46,46.07,-36.40,-36.37,0.02,4.7,0.7,-1.8,5.8,-0.0,-0.0
47,47.11,-36.38,-36.37,0.00,-2.7,0.0,-1.8,-1.0,-0.0,-0.0
48,48.08,-36.36,-36.37,-0.01,-5.0,-0.4,-1.8,-2.9,-0.0,-0.0
49,49.05,-36.40,-36.37,0.02,-2.0,0.7,-1.8,-0.9,-0.0,-0.0
50,50.11,-36.36,-36.37,-0.01,-4.0,-0.4,-1.8,-1.9,-0.0,-0.0
51,51.10,-36.36,-36.37,-0.01,-3.1,-0.4,-1.8,-0.9,-0.0,-0.0
52,52.05,-36.38,-36.37,0.00,-2.7,0.0,-1.8,-1.0,-0.0,-0.0
53,53.10,-36.39,-36.37,0.01,-0.5,0.4,-1.8,0.9,-0.0,-0.0
54,54.07,-36.43,-36.37,0.05,6.3,1.5,-1.8,6.6,-0.0,-0.0
55,55.05,-36.36,-36.37,-0.01,-4.0,-0.4,-1.8,-1.9,-0.0,-0.0
56,56.09,-36.35,-36.37,-0.02,-3.5,-0.7,-1.8,-0.9,-0.0,-0.0
57,57.06,-36.39,-36.37,0.01,-1.4,0.4,-1.8,0.0,-0.0,-0.0
58,58.10,-36.35,-36.37,-0.02,-3.5,-0.7,-1.8,-1.0,-0.0,-0.0
59,59.07,-36.38,-36.37,0.00,-0.8,0.0,-1.8,1.0,-0.0,-0.0
60,60.05,-36.38,-36.37,0.00,1.0,0.0,-1.8,2.8,-0.0,-0.0
61,61.11,-36.41,-36.37,0.04,1.2,1.1,-1.8,1.9,-0.0,-0.0
62,62.07,-36.35,-36.37,-0.02,-4.4,-0.7,-1.8,-1.9,-0.0,-0.0
63,63.06,-36.34,-36.37,-0.04,-2.9,-1.1,-1.8,0.0,-0.0,-0.0
64,64.10,-36.36,-36.34,0.02,124.3,0.7,-1.8,0.9,4.9,119.6
65,65.10,-36.00,-36.13,-0.13,126.6,-4.0,-1.8,-7.4,12.4,127.4
66,66.07,-35.33,-35.77,-0.44,107.4,-13.2,-2.1,-16.0,19.0,119.6
67,67.05,-34.41,-35.23,-0.82,89.4,-24.5,-2.7,-20.6,25.4,112.0
68,68.12,-33.30,-34.45,-1.15,105.9,-34.4,-3.8,-13.8,34.4,123.5
69,69.11,-32.06,-33.55,-1.50,74.4,-45.0,-5.1,-18.5,38.4,104.7
70,70.08,-30.79,-32.50,-1.72,89.0,-51.6,-6.7,-11.3,46.6,112.0
71,71.06,-29.43,-31.28,-1.84,105.4,-55.3,-8.4,-5.6,55.2,119.6
72,72.04,-27.94,-29.89,-1.95,99.6,-58.6,-10.3,-3.8,60.2,112.0
73,73.11,-26.22,-28.18,-1.95,108.8,-58.6,-12.4,0.0,67.8,112.0
74,74.09,-24.43,-26.44,-2.01,104.1,-60.4,-14.3,-2.8,73.3,108.3
75,75.07,-22.49,-24.53,-2.04,111.8,-61.2,-16.3,0.9,80.1,108.3
76,76.05,-20.36,-22.45,-2.09,118.4,-62.6,-18.4,-0.9,88.3,112.0
77,77.04,-18.03,-20.18,-2.15,130.2,-64.4,-20.5,-2.8,98.4,119.6
78,78.09,-15.47,-17.58,-2.11,14.1,-63.3,-22.7,1.9,98.3,-0.0
79,79.09,-13.05,-15.10,-2.05,11.3,-61.5,-24.8,0.9,96.7,-0.0
80,80.07,-10.80,-12.64,-1.84,30.8,-55.3,-26.7,9.4,103.3,-0.0
81,81.06,-8.48,-10.17,-1.68,38.7,-50.5,-28.4,9.3,108.3,-0.0
82,82.11,-6.08,-7.55,-1.46,34.7,-43.9,-30.1,10.4,98.3,-0.0
83,83.10,-3.83,-5.06,-1.23,42.7,-37.0,-31.4,11.1,100.0,-0.0
84,84.07,-1.55,-2.64,-1.09,46.7,-32.6,-32.5,8.5,103.3,-0.0
85,85.05,0.78,-0.18,-0.96,44.6,-28.9,-33.5,3.8,103.3,-0.0
86,86.11,3.27,2.47,-0.81,54.1,-24.2,-34.4,9.4,103.3,-0.0
87,87.10,5.62,4.95,-0.67,57.8,-20.1,-35.2,6.5,106.7,-0.0
88,88.08,7.91,7.38,-0.52,55.0,-15.8,-35.8,6.5,100.0,-0.0
89,89.06,10.22,9.84,-0.38,61.8,-11.4,-36.2,9.4,100.0,-0.0
90,90.11,12.70,12.47,-0.23,65.9,-7.0,-36.5,9.4,100.0,-0.0
91,91.11,15.01,14.95,-0.06,70.8,-1.8,-36.7,9.2,100.0,-0.0
92,92.07,17.25,17.36,0.11,78.1,3.3,-36.6,11.5,100.0,-0.0
93,93.05,19.63,19.82,0.20,75.0,5.9,-36.5,5.6,100.0,-0.0
94,94.11,22.18,22.45,0.27,74.6,8.1,-36.2,2.8,100.0,-0.0
95,95.10,24.61,24.94,0.33,74.1,9.9,-35.9,1.8,98.3,-0.0
96,96.06,27.04,27.35,0.31,76.6,9.2,-35.6,-1.9,105.0,-0.0
97,97.06,29.49,29.84,0.35,83.2,10.6,-35.3,4.6,103.3,-0.0
98,98.04,32.04,32.28,0.23,65.6,7.0,-35.0,-4.7,98.3,-0.0
99,99.11,34.83,34.97,0.13,70.3,4.0,-34.8,-5.5,106.7,-0.0
100,100.08,37.35,37.40,0.05,59.4,1.5,-34.8,-5.6,98.3,-0.0
101,101.07,39.94,39.85,-0.09,59.4,-2.6,-34.8,-6.6,103.3,-0.0
102,102.04,42.48,42.29,-0.20,51.0,-5.9,-34.9,-6.6,98.3,-0.0
103,103.11,45.28,44.97,-0.31,48.4,-9.2,-35.2,-5.5,98.3,-0.0
104,104.08,47.81,47.40,-0.42,46.4,-12.5,-35.5,-5.6,100.0,-0.0
105,105.07,50.40,49.85,-0.55,44.3,-16.5,-36.0,-6.6,103.3,-0.0
106,106.04,52.91,52.29,-0.61,46.0,-18.3,-36.6,0.9,100.0,-0.0
107,107.11,55.70,54.97,-0.73,35.3,-22.0,-37.4,-3.7,98.3,-0.0
108,108.09,58.20,57.41,-0.79,29.7,-23.8,-38.1,-8.4,100.0,-0.0
109,109.06,60.58,59.85,-0.73,46.2,-22.0,-38.9,3.7,103.3,-0.0
110,110.04,63.04,62.28,-0.76,38.6,-22.7,-39.6,0.9,100.0,-0.0
111,111.11,65.66,64.96,-0.71,36.6,-21.2,-40.3,-1.8,100.0,-0.0
112,112.09,68.04,67.41,-0.63,40.9,-19.0,-41.0,0.9,100.0,-0.0
113,113.07,70.50,69.86,-0.63,42.7,-19.0,-41.6,0.0,103.3,-0.0
114,114.04,72.81,72.29,-0.52,50.1,-15.8,-42.2,4.7,103.3,-0.0
115,115.04,75.29,74.78,-0.51,42.1,-15.4,-42.7,1.8,98.3,-0.0
116,116.09,77.92,77.41,-0.51,38.8,-15.4,-43.2,-0.9,98.3,-0.0
117,117.06,80.29,79.83,-0.45,43.7,-13.5,-43.7,1.0,100.0,-0.0
118,118.04,82.71,82.28,-0.44,49.6,-13.2,-44.1,1.9,105.0,-0.0
119,119.10,85.33,84.92,-0.40,44.5,-12.1,-44.6,2.8,98.3,-0.0
120,120.06,87.77,87.35,-0.42,44.4,-12.5,-45.0,1.9,100.0,-0.0
121,121.12,90.37,89.98,-0.39,44.8,-11.7,-45.4,1.9,100.0,-0.0
122,122.09,92.76,92.42,-0.34,49.6,-10.2,-45.8,5.6,100.0,-0.0
123,123.06,95.19,94.84,-0.35,42.5,-10.6,-46.1,1.0,98.3,-0.0
124,124.11,97.75,97.46,-0.29,46.1,-8.8,-46.5,4.7,96.7,-0.0
125,125.09,100.16,99.90,-0.26,53.6,-7.7,-46.8,4.7,103.3,-0.0
126,126.06,102.51,102.33,-0.18,55.6,-5.5,-47.0,4.7,103.3,-0.0
127,127.12,105.18,104.99,-0.18,54.9,-5.5,-47.2,0.9,106.7,-0.0
128,128.09,107.53,107.42,-0.11,46.8,-3.3,-47.3,-0.9,98.3,-0.0
129,129.07,109.97,109.87,-0.11,45.8,-3.3,-47.4,-1.9,98.3,-0.0
130,130.05,112.38,112.30,-0.07,52.5,-2.2,-47.4,-2.8,105.0,-0.0
131,131.10,114.97,114.94,-0.02,53.7,-0.7,-47.5,1.9,100.0,-0.0
