Sample,Timestamp,Raw Encoder Reading,Target Motor Steps,Current Error,PID I Term,Phase Shift
0,0.04,-42590,-519.90,0.00,-14.8,0
1,1.11,-42600,-520.01,0.01,-14.8,0
2,2.09,-42642,-520.25,0.28,-14.6,0
3,3.07,-42681,-520.49,0.51,-14.2,0
4,4.06,-42707,-520.74,0.59,-13.6,0
5,5.11,-42723,-521.00,0.51,-13.0,0
6,6.09,-42734,-521.25,0.40,-12.6,0
7,7.09,-42746,-521.50,0.31,-12.2,0
8,8.07,-42756,-521.74,0.18,-12.0,0
9,9.05,-42766,-521.99,0.06,-11.9,0
10,10.04,-42778,-522.24,-0.05,-11.9,0
11,11.10,-42788,-522.50,-0.18,-12.1,0
12,12.09,-42803,-522.75,-0.26,-12.3,0
13,13.07,-42816,-522.99,-0.34,-12.5,0
14,14.06,-42837,-523.24,-0.33,-12.9,0
15,15.05,-42857,-523.49,-0.33,-13.2,0
16,16.12,-42881,-523.76,-0.31,-13.6,0
17,17.11,-42902,-524.00,-0.29,-13.9,0
18,18.07,-42927,-524.24,-0.23,-14.1,0
19,19.06,-42951,-524.49,-0.18,-14.3,0
20,20.05,-42977,-524.74,-0.12,-14.5,0
21,21.11,-43004,-525.00,-0.05,-14.6,0
22,22.10,-43027,-525.25,-0.02,-14.6,0
23,23.08,-43049,-525.50,0.00,-14.6,0
24,24.07,-43062,-525.74,-0.09,-14.7,0
25,25.04,-43085,-525.99,-0.05,-14.7,0
26,26.11,-43108,-526.25,-0.04,-14.8,0
27,27.09,-43129,-526.50,-0.02,-14.8,0
28,28.08,-43152,-526.75,0.01,-14.8,0
29,29.08,-43170,-527.00,-0.01,-14.8,0
30,30.07,-43189,-527.24,-0.04,-14.8,0
31,31.06,-43208,-527.49,-0.05,-14.9,0
32,32.04,-43223,-527.74,-0.11,-15.0,0
33,33.11,-43243,-528.00,-0.13,-15.1,0
34,34.09,-43265,-528.25,-0.11,-15.2,0
35,35.09,-43287,-528.50,-0.10,-15.3,0
36,36.06,-43308,-528.74,-0.07,-15.4,0
37,37.06,-43328,-528.99,-0.09,-15.4,0
38,38.05,-43351,-529.24,-0.05,-15.5,0
39,39.05,-43369,-529.49,-0.09,-15.5,0
40,40.11,-43394,-529.75,-0.04,-15.6,0
41,41.10,-43411,-530.00,-0.09,-15.7,0
42,42.07,-43433,-530.24,-0.06,-15.7,0
43,43.07,-43455,-530.49,-0.04,-15.8,0
44,44.05,-43475,-530.74,-0.04,-15.8,0
45,45.05,-43494,-530.99,-0.05,-15.9,0
46,46.10,-43518,-531.25,-0.02,-15.9,0
47,47.10,-43537,-531.50,-0.05,-15.9,0
48,48.08,-43559,-531.74,-0.02,-15.9,0
49,49.06,-43575,-531.99,-0.07,-15.9,0
50,50.04,-43602,-532.24,0.01,-16.0,0
51,51.11,-43621,-532.50,-0.02,-16.0,0
52,52.07,-43642,-532.74,0.00,-16.0,0
53,53.05,-43662,-532.99,0.00,-16.0,0
54,54.10,-43682,-533.25,-0.02,-16.0,0
55,55.08,-43700,-533.50,-0.05,-16.0,0
56,56.05,-43723,-533.74,-0.01,-16.1,0
57,57.04,-43739,-533.99,-0.06,-16.1,0
58,58.10,-43762,-534.25,-0.05,-16.2,0
59,59.09,-43784,-534.50,-0.02,-16.2,0
60,60.07,-43801,-534.74,-0.06,-16.3,0
61,61.05,-43821,-534.99,-0.06,-16.3,0
62,62.10,-43848,-535.25,0.00,-16.3,0
63,63.08,-43865,-535.50,-0.04,-16.3,0
64,64.06,-43888,-535.74,0.00,-16.4,0
65,65.12,-43909,-536.01,-0.01,-16.4,0
66,66.09,-43929,-536.25,-0.01,-16.4,0
67,67.08,-43953,-536.50,0.04,-16.3,0
