Sample,Timestamp,Raw Encoder Reading,Target Motor Steps,Current Error,PID I Term,Phase Shift
0,0.04,-103519,-1263.65,0.01,13.7,0
1,1.11,-103530,-1263.76,0.04,13.7,0
2,2.09,-103570,-1263.99,0.29,13.9,0
3,3.08,-103600,-1264.24,0.40,14.2,0
4,4.06,-103616,-1264.49,0.35,14.6,0
5,5.11,-103627,-1264.75,0.23,14.9,0
6,6.09,-103632,-1264.99,0.05,15.0,0
7,7.06,-103640,-1265.24,-0.10,15.0,0
8,8.04,-103647,-1265.48,-0.26,14.8,0
9,9.10,-103656,-1265.75,-0.42,14.4,0
10,10.10,-103666,-1266.00,-0.54,14.0,0
11,11.07,-103682,-1266.24,-0.59,13.4,0
12,12.05,-103692,-1266.48,-0.71,12.8,0
13,13.05,-103711,-1266.73,-0.73,12.1,0
14,14.11,-103730,-1267.00,-0.77,11.3,0
15,15.11,-103754,-1267.25,-0.72,10.5,0
16,16.09,-103779,-1267.49,-0.66,9.8,0
17,17.09,-103799,-1267.74,-0.67,9.1,0
18,18.07,-103825,-1267.99,-0.60,8.5,0
19,19.05,-103851,-1268.23,-0.52,8.0,0
20,20.11,-103882,-1268.50,-0.42,7.4,0
21,21.09,-103908,-1268.74,-0.34,7.1,0
22,22.08,-103933,-1268.99,-0.28,6.8,0
23,23.07,-103957,-1269.24,-0.23,6.5,0
24,24.04,-103979,-1269.48,-0.21,6.3,0
25,25.11,-104004,-1269.75,-0.17,6.1,0
26,26.09,-104022,-1269.99,-0.20,6.0,0
27,27.07,-104042,-1270.24,-0.20,5.8,0
28,28.06,-104058,-1270.49,-0.24,5.6,0
29,29.04,-104078,-1270.73,-0.24,5.3,0
30,30.11,-104098,-1271.00,-0.27,5.1,0
31,31.11,-104112,-1271.25,-0.35,4.8,0
32,32.08,-104131,-1271.49,-0.37,4.4,0
33,33.08,-104151,-1271.74,-0.37,4.1,0
34,34.06,-104169,-1271.99,-0.39,3.7,0
35,35.12,-104192,-1272.25,-0.38,3.3,0
36,36.10,-104218,-1272.50,-0.31,2.9,0
37,37.09,-104239,-1272.74,-0.29,2.6,0
38,38.08,-104265,-1272.99,-0.22,2.4,0
39,39.07,-104291,-1273.24,-0.16,2.2,0
40,40.04,-104310,-1273.48,-0.17,2.1,0
41,41.11,-104335,-1273.75,-0.13,1.9,0
42,42.10,-104355,-1274.00,-0.13,1.8,0
43,43.08,-104376,-1274.24,-0.12,1.7,0
44,44.06,-104394,-1274.49,-0.15,1.5,0
45,45.04,-104415,-1274.73,-0.13,1.4,0
46,46.11,-104432,-1275.00,-0.20,1.2,0
47,47.10,-104454,-1275.25,-0.17,1.1,0
